Point ID,Idp,Mk,Points:0,Points:1,Points:2,Points:Magnitude,Rhop,Type,Vel:0,Vel:1,Vel:2,Vel:Magnitude
0,0,10,0.01,0.01,0.01,0.0173205,1000,0,0,0,0,0
1,1,10,0.01,0.01,0.03,0.0331662,1000,0,0,0,0,0
2,2,10,0.01,0.01,0.05,0.0519615,1000,0,0,0,0,0
3,3,10,0.01,0.01,0.07,0.0714143,1000,0,0,0,0,0
4,4,10,0.01,0.01,0.09,0.0911043,1000,0,0,0,0,0
5,5,10,0.01,0.01,0.11,0.110905,1000,0,0,0,0,0
6,6,10,0.01,0.01,0.13,0.130767,1000,0,0,0,0,0
7,7,10,0.01,0.01,0.15,0.150665,1000,0,0,0,0,0
8,8,10,0.01,0.01,0.17,0.170587,1000,0,0,0,0,0
9,9,10,0.01,0.01,0.19,0.190526,1000,0,0,0,0,0
10,10,10,0.01,0.01,0.21,0.210476,1000,0,0,0,0,0
11,11,10,0.01,0.01,0.23,0.230434,1000,0,0,0,0,0
12,12,10,0.01,0.01,0.25,0.2504,1000,0,0,0,0,0
13,13,10,0.01,0.01,0.27,0.27037,1000,0,0,0,0,0
14,14,10,0.01,0.01,0.29,0.290345,1000,0,0,0,0,0
15,15,10,0.01,0.01,0.31,0.310322,1000,0,0,0,0,0
16,16,10,0.01,0.01,0.33,0.330303,1000,0,0,0,0,0
17,17,10,0.01,0.01,0.35,0.350286,1000,0,0,0,0,0
18,18,10,0.01,0.01,0.37,0.37027,1000,0,0,0,0,0
19,19,10,0.01,0.01,0.39,0.390256,1000,0,0,0,0,0
20,20,10,0.01,0.01,0.41,0.410244,1000,0,0,0,0,0
21,21,10,0.01,0.03,0.01,0.0331662,1000,0,0,0,0,0
22,22,10,0.01,0.03,0.03,0.043589,1000,0,0,0,0,0
23,23,10,0.01,0.03,0.05,0.0591608,1000,0,0,0,0,0
24,24,10,0.01,0.03,0.07,0.0768115,1000,0,0,0,0,0
25,25,10,0.01,0.03,0.09,0.0953939,1000,0,0,0,0,0
26,26,10,0.01,0.03,0.11,0.114455,1000,0,0,0,0,0
27,27,10,0.01,0.03,0.13,0.133791,1000,0,0,0,0,0
28,28,10,0.01,0.03,0.15,0.153297,1000,0,0,0,0,0
29,29,10,0.01,0.03,0.17,0.172916,1000,0,0,0,0,0
30,30,10,0.01,0.03,0.19,0.192614,1000,0,0,0,0,0
31,31,10,0.01,0.03,0.21,0.212368,1000,0,0,0,0,0
32,32,10,0.01,0.03,0.23,0.232164,1000,0,0,0,0,0
33,33,10,0.01,0.03,0.25,0.251992,1000,0,0,0,0,0
34,34,10,0.01,0.03,0.27,0.271846,1000,0,0,0,0,0
35,35,10,0.01,0.03,0.29,0.291719,1000,0,0,0,0,0
36,36,10,0.01,0.03,0.31,0.311609,1000,0,0,0,0,0
37,37,10,0.01,0.03,0.33,0.331512,1000,0,0,0,0,0
38,38,10,0.01,0.03,0.35,0.351426,1000,0,0,0,0,0
39,39,10,0.01,0.03,0.37,0.371349,1000,0,0,0,0,0
40,40,10,0.01,0.03,0.39,0.39128,1000,0,0,0,0,0
41,41,10,0.01,0.03,0.41,0.411218,1000,0,0,0,0,0
42,42,10,0.01,0.05,0.01,0.0519615,1000,0,0,0,0,0
43,43,10,0.01,0.05,0.03,0.0591608,1000,0,0,0,0,0
44,44,10,0.01,0.05,0.05,0.0714143,1000,0,0,0,0,0
45,45,10,0.01,0.05,0.07,0.0866025,1000,0,0,0,0,0
46,46,10,0.01,0.05,0.09,0.103441,1000,0,0,0,0,0
47,47,10,0.01,0.05,0.11,0.121244,1000,0,0,0,0,0
48,48,10,0.01,0.05,0.13,0.139642,1000,0,0,0,0,0
49,49,10,0.01,0.05,0.15,0.15843,1000,0,0,0,0,0
50,50,10,0.01,0.05,0.17,0.177482,1000,0,0,0,0,0
51,51,10,0.01,0.05,0.19,0.196723,1000,0,0,0,0,0
52,52,10,0.01,0.05,0.21,0.216102,1000,0,0,0,0,0
53,53,10,0.01,0.05,0.23,0.235584,1000,0,0,0,0,0
54,54,10,0.01,0.05,0.25,0.255147,1000,0,0,0,0,0
55,55,10,0.01,0.05,0.27,0.274773,1000,0,0,0,0,0
56,56,10,0.01,0.05,0.29,0.294449,1000,0,0,0,0,0
57,57,10,0.01,0.05,0.31,0.314166,1000,0,0,0,0,0
58,58,10,0.01,0.05,0.33,0.333916,1000,0,0,0,0,0
59,59,10,0.01,0.05,0.35,0.353695,1000,0,0,0,0,0
60,60,10,0.01,0.05,0.37,0.373497,1000,0,0,0,0,0
61,61,10,0.01,0.05,0.39,0.393319,1000,0,0,0,0,0
62,62,10,0.01,0.05,0.41,0.413159,1000,0,0,0,0,0
63,63,10,0.01,0.07,0.01,0.0714143,1000,0,0,0,0,0
64,64,10,0.01,0.07,0.03,0.0768115,1000,0,0,0,0,0
65,65,10,0.01,0.07,0.05,0.0866025,1000,0,0,0,0,0
66,66,10,0.01,0.07,0.07,0.0994987,1000,0,0,0,0,0
67,67,10,0.01,0.07,0.09,0.114455,1000,0,0,0,0,0
68,68,10,0.01,0.07,0.11,0.130767,1000,0,0,0,0,0
69,69,10,0.01,0.07,0.13,0.147986,1000,0,0,0,0,0
70,70,10,0.01,0.07,0.15,0.165831,1000,0,0,0,0,0
71,71,10,0.01,0.07,0.17,0.18412,1000,0,0,0,0,0
72,72,10,0.01,0.07,0.19,0.202731,1000,0,0,0,0,0
73,73,10,0.01,0.07,0.21,0.221585,1000,0,0,0,0,0
74,74,10,0.01,0.07,0.23,0.240624,1000,0,0,0,0,0
75,75,10,0.01,0.07,0.25,0.259808,1000,0,0,0,0,0
76,76,10,0.01,0.07,0.27,0.279106,1000,0,0,0,0,0
77,77,10,0.01,0.07,0.29,0.298496,1000,0,0,0,0,0
78,78,10,0.01,0.07,0.31,0.317962,1000,0,0,0,0,0
79,79,10,0.01,0.07,0.33,0.337491,1000,0,0,0,0,0
80,80,10,0.01,0.07,0.35,0.357071,1000,0,0,0,0,0
81,81,10,0.01,0.07,0.37,0.376696,1000,0,0,0,0,0
82,82,10,0.01,0.07,0.39,0.396358,1000,0,0,0,0,0
83,83,10,0.01,0.07,0.41,0.416053,1000,0,0,0,0,0
84,84,10,0.01,0.09,0.01,0.0911043,1000,0,0,0,0,0
85,85,10,0.01,0.09,0.03,0.0953939,1000,0,0,0,0,0
86,86,10,0.01,0.09,0.05,0.103441,1000,0,0,0,0,0
87,87,10,0.01,0.09,0.07,0.114455,1000,0,0,0,0,0
88,88,10,0.01,0.09,0.09,0.127671,1000,0,0,0,0,0
89,89,10,0.01,0.09,0.11,0.142478,1000,0,0,0,0,0
90,90,10,0.01,0.09,0.13,0.15843,1000,0,0,0,0,0
91,91,10,0.01,0.09,0.15,0.175214,1000,0,0,0,0,0
92,92,10,0.01,0.09,0.17,0.192614,1000,0,0,0,0,0
93,93,10,0.01,0.09,0.19,0.210476,1000,0,0,0,0,0
94,94,10,0.01,0.09,0.21,0.228692,1000,0,0,0,0,0
95,95,10,0.01,0.09,0.23,0.247184,1000,0,0,0,0,0
96,96,10,0.01,0.09,0.25,0.265895,1000,0,0,0,0,0
97,97,10,0.01,0.09,0.27,0.284781,1000,0,0,0,0,0
98,98,10,0.01,0.09,0.29,0.303809,1000,0,0,0,0,0
99,99,10,0.01,0.09,0.31,0.322955,1000,0,0,0,0,0
100,100,10,0.01,0.09,0.33,0.342199,1000,0,0,0,0,0
101,101,10,0.01,0.09,0.35,0.361525,1000,0,0,0,0,0
102,102,10,0.01,0.09,0.37,0.38092,1000,0,0,0,0,0
103,103,10,0.01,0.09,0.39,0.400375,1000,0,0,0,0,0
104,104,10,0.01,0.09,0.41,0.419881,1000,0,0,0,0,0
105,105,10,0.01,0.11,0.01,0.110905,1000,0,0,0,0,0
106,106,10,0.01,0.11,0.03,0.114455,1000,0,0,0,0,0
107,107,10,0.01,0.11,0.05,0.121244,1000,0,0,0,0,0
108,108,10,0.01,0.11,0.07,0.130767,1000,0,0,0,0,0
109,109,10,0.01,0.11,0.09,0.142478,1000,0,0,0,0,0
110,110,10,0.01,0.11,0.11,0.155885,1000,0,0,0,0,0
111,111,10,0.01,0.11,0.13,0.170587,1000,0,0,0,0,0
112,112,10,0.01,0.11,0.15,0.186279,1000,0,0,0,0,0
113,113,10,0.01,0.11,0.17,0.202731,1000,0,0,0,0,0
114,114,10,0.01,0.11,0.19,0.219773,1000,0,0,0,0,0
115,115,10,0.01,0.11,0.21,0.237276,1000,0,0,0,0,0
116,116,10,0.01,0.11,0.23,0.255147,1000,0,0,0,0,0
117,117,10,0.01,0.11,0.25,0.273313,1000,0,0,0,0,0
