Point ID,Idp,Mk,Points:0,Points:1,Points:2,Points:Magnitude,Rhop,Type,Vel:0,Vel:1,Vel:2,Vel:Magnitude
69,7915,1,0.03,0.11,0.21,0.238956,1000.89,3,0,0,0,0
70,7916,1,0.03,0.11,0.23,0.25671,1000.71,3,0,0,0,0
71,7917,1,0.03,0.11,0.25,0.274773,1000.53,3,0,0,0,0
72,7918,1,0.03,0.11,0.27,0.293087,1000.36,3,0,0,0,0
73,7919,1,0.03,0.11,0.29,0.311609,1000.18,3,0,0,0,0
74,7920,1,0.03,0.11,0.31,0.330303,1000,3,0,0,0,0
75,7921,1,0.03,0.13,0.03,0.136748,1002.48,3,0,0,0,0
76,7922,1,0.03,0.13,0.05,0.142478,1002.31,3,0,0,0,0
77,7923,1,0.03,0.13,0.07,0.150665,1002.13,3,0,0,0,0
78,7924,1,0.03,0.13,0.09,0.160935,1001.95,3,0,0,0,0
79,7925,1,0.03,0.13,0.11,0.172916,1001.78,3,0,0,0,0
80,7926,1,0.03,0.13,0.13,0.186279,1001.6,3,0,0,0,0
81,7927,1,0.03,0.13,0.15,0.200749,1001.42,3,0,0,0,0
82,7928,1,0.03,0.13,0.17,0.216102,1001.25,3,0,0,0,0
83,7929,1,0.03,0.13,0.19,0.232164,1001.07,3,0,0,0,0
84,7930,1,0.03,0.13,0.21,0.248797,1000.89,3,0,0,0,0
85,7931,1,0.03,0.13,0.23,0.265895,1000.71,3,0,0,0,0
86,7932,1,0.03,0.13,0.25,0.283373,1000.53,3,0,0,0,0
87,7933,1,0.03,0.13,0.27,0.301164,1000.36,3,0,0,0,0
88,7934,1,0.03,0.13,0.29,0.319218,1000.18,3,0,0,0,0
89,7935,1,0.03,0.13,0.31,0.337491,1000,3,0,0,0,0
90,7936,1,0.03,0.15,0.03,0.155885,1002.48,3,0,0,0,0
91,7937,1,0.03,0.15,0.05,0.160935,1002.31,3,0,0,0,0
92,7938,1,0.03,0.15,0.07,0.168226,1002.13,3,0,0,0,0
93,7939,1,0.03,0.15,0.09,0.177482,1001.95,3,0,0,0,0
94,7940,1,0.03,0.15,0.11,0.188414,1001.78,3,0,0,0,0
95,7941,1,0.03,0.15,0.13,0.200749,1001.6,3,0,0,0,0
96,7942,1,0.03,0.15,0.15,0.214243,1001.42,3,0,0,0,0
97,7943,1,0.03,0.15,0.17,0.228692,1001.25,3,0,0,0,0
98,7944,1,0.03,0.15,0.19,0.243926,1001.07,3,0,0,0,0
99,7945,1,0.03,0.15,0.21,0.259808,1000.89,3,0,0,0,0
100,7946,1,0.03,0.15,0.23,0.276225,1000.71,3,0,0,0,0
101,7947,1,0.03,0.15,0.25,0.293087,1000.53,3,0,0,0,0
102,7948,1,0.03,0.15,0.27,0.310322,1000.36,3,0,0,0,0
103,7949,1,0.03,0.15,0.29,0.327872,1000.18,3,0,0,0,0
104,7950,1,0.03,0.15,0.31,0.345688,1000,3,0,0,0,0
105,7951,1,0.03,0.17,0.03,0.175214,1002.48,3,0,0,0,0
106,7952,1,0.03,0.17,0.05,0.179722,1002.31,3,0,0,0,0
107,7953,1,0.03,0.17,0.07,0.186279,1002.13,3,0,0,0,0
108,7954,1,0.03,0.17,0.09,0.194679,1001.95,3,0,0,0,0
109,7955,1,0.03,0.17,0.11,0.204695,1001.78,3,0,0,0,0
110,7956,1,0.03,0.17,0.13,0.216102,1001.6,3,0,0,0,0
111,7957,1,0.03,0.17,0.15,0.228692,1001.42,3,0,0,0,0
112,7958,1,0.03,0.17,0.17,0.242281,1001.25,3,0,0,0,0
113,7959,1,0.03,0.17,0.19,0.25671,1001.07,3,0,0,0,0
114,7960,1,0.03,0.17,0.21,0.271846,1000.89,3,0,0,0,0
115,7961,1,0.03,0.17,0.23,0.287576,1000.71,3,0,0,0,0
116,7962,1,0.03,0.17,0.25,0.303809,1000.53,3,0,0,0,0
117,7963,1,0.03,0.17,0.27,0.320468,1000.36,3,0,0,0,0
118,7964,1,0.03,0.17,0.29,0.337491,1000.18,3,0,0,0,0
119,7965,1,0.03,0.17,0.31,0.354824,1000,3,0,0,0,0
120,7966,1,0.03,0.19,0.03,0.194679,1002.48,3,0,0,0,0
121,7967,1,0.03,0.19,0.05,0.198746,1002.31,3,0,0,0,0
122,7968,1,0.03,0.19,0.07,0.204695,1002.13,3,0,0,0,0
123,7969,1,0.03,0.19,0.09,0.212368,1001.95,3,0,0,0,0
124,7970,1,0.03,0.19,0.11,0.221585,1001.78,3,0,0,0,0
125,7971,1,0.03,0.19,0.13,0.232164,1001.6,3,0,0,0,0
126,7972,1,0.03,0.19,0.15,0.243926,1001.42,3,0,0,0,0
127,7973,1,0.03,0.19,0.17,0.25671,1001.25,3,0,0,0,0
128,7974,1,0.03,0.19,0.19,0.27037,1001.07,3,0,0,0,0
129,7975,1,0.03,0.19,0.21,0.284781,1000.89,3,0,0,0,0
130,7976,1,0.03,0.19,0.23,0.299833,1000.71,3,0,0,0,0
131,7977,1,0.03,0.19,0.25,0.315436,1000.53,3,0,0,0,0
132,7978,1,0.03,0.19,0.27,0.331512,1000.36,3,0,0,0,0
133,7979,1,0.03,0.19,0.29,0.347994,1000.18,3,0,0,0,0
134,7980,1,0.03,0.19,0.31,0.364829,1000,3,0,0,0,0
135,7981,1,0.03,0.21,0.03,0.214243,1002.48,3,0,0,0,0
136,7982,1,0.03,0.21,0.05,0.217945,1002.31,3,0,0,0,0
137,7983,1,0.03,0.21,0.07,0.223383,1002.13,3,0,0,0,0
138,7984,1,0.03,0.21,0.09,0.230434,1001.95,3,0,0,0,0
139,7985,1,0.03,0.21,0.11,0.238956,1001.78,3,0,0,0,0
140,7986,1,0.03,0.21,0.13,0.248797,1001.6,3,0,0,0,0
141,7987,1,0.03,0.21,0.15,0.259808,1001.42,3,0,0,0,0
142,7988,1,0.03,0.21,0.17,0.271846,1001.25,3,0,0,0,0
143,7989,1,0.03,0.21,0.19,0.284781,1001.07,3,0,0,0,0
144,7990,1,0.03,0.21,0.21,0.298496,1000.89,3,0,0,0,0
145,7991,1,0.03,0.21,0.23,0.31289,1000.71,3,0,0,0,0
146,7992,1,0.03,0.21,0.25,0.327872,1000.53,3,0,0,0,0
147,7993,1,0.03,0.21,0.27,0.343366,1000.36,3,0,0,0,0
148,7994,1,0.03,0.21,0.29,0.359305,1000.18,3,0,0,0,0
149,7995,1,0.03,0.21,0.31,0.375633,1000,3,0,0,0,0
150,7996,1,0.03,0.23,0.03,0.23388,1002.48,3,0,0,0,0
