Point ID,Idp,Mk,Points:0,Points:1,Points:2,Points:Magnitude,Rhop,Type,Vel:0,Vel:1,Vel:2,Vel:Magnitude
73,73,10,0.001,0.0095,0.2135,0.213714,1000,0,0,0,0,0
74,74,10,0.001,0.0095,0.222,0.222205,1000,0,0,0,0,0
75,75,10,0.001,0.0095,0.2305,0.230698,1000,0,0,0,0,0
76,76,10,0.001,0.0095,0.239,0.239191,1000,0,0,0,0,0
77,77,10,0.001,0.0095,0.2475,0.247684,1000,0,0,0,0,0
78,78,10,0.001,0.0095,0.256,0.256178,1000,0,0,0,0,0
79,79,10,0.001,0.0095,0.2645,0.264672,1000,0,0,0,0,0
80,80,10,0.001,0.0095,0.273,0.273167,1000,0,0,0,0,0
81,81,10,0.001,0.0095,0.2815,0.281662,1000,0,0,0,0,0
82,82,10,0.001,0.0095,0.29,0.290157,1000,0,0,0,0,0
83,83,10,0.001,0.0095,0.2985,0.298653,1000,0,0,0,0,0
84,84,10,0.001,0.0095,0.307,0.307149,1000,0,0,0,0,0
85,85,10,0.001,0.0095,0.3155,0.315645,1000,0,0,0,0,0
86,86,10,0.001,0.0095,0.324,0.324141,1000,0,0,0,0,0
87,87,10,0.001,0.0095,0.3325,0.332637,1000,0,0,0,0,0
88,88,10,0.001,0.0095,0.341,0.341134,1000,0,0,0,0,0
89,89,10,0.001,0.0095,0.3495,0.349631,1000,0,0,0,0,0
90,90,10,0.001,0.0095,0.358,0.358127,1000,0,0,0,0,0
91,91,10,0.001,0.0095,0.3665,0.366624,1000,0,0,0,0,0
92,92,10,0.001,0.0095,0.375,0.375122,1000,0,0,0,0,0
93,93,10,0.001,0.0095,0.3835,0.383619,1000,0,0,0,0,0
94,94,10,0.001,0.0095,0.392,0.392116,1000,0,0,0,0,0
95,95,10,0.001,0.0095,0.4005,0.400614,1000,0,0,0,0,0
96,96,10,0.001,0.018,0.001,0.0180555,1000,0,0,0,0,0
97,97,10,0.001,0.018,0.0095,0.0203777,1000,0,0,0,0,0
98,98,10,0.001,0.018,0.018,0.0254755,1000,0,0,0,0,0
99,99,10,0.001,0.018,0.0265,0.0320507,1000,0,0,0,0,0
100,100,10,0.001,0.018,0.035,0.03937,1000,0,0,0,0,0
101,101,10,0.001,0.018,0.0435,0.0470877,1000,0,0,0,0,0
102,102,10,0.001,0.018,0.052,0.0550364,1000,0,0,0,0,0
103,103,10,0.001,0.018,0.0605,0.0631288,1000,0,0,0,0,0
104,104,10,0.001,0.018,0.069,0.0713162,1000,0,0,0,0,0
105,105,10,0.001,0.018,0.0775,0.0795692,1000,0,0,0,0,0
106,106,10,0.001,0.018,0.086,0.0878692,1000,0,0,0,0,0
107,107,10,0.001,0.018,0.0945,0.0962042,1000,0,0,0,0,0
108,108,10,0.001,0.018,0.103,0.104566,1000,0,0,0,0,0
109,109,10,0.001,0.018,0.1115,0.112948,1000,0,0,0,0,0
110,110,10,0.001,0.018,0.12,0.121347,1000,0,0,0,0,0
111,111,10,0.001,0.018,0.1285,0.129758,1000,0,0,0,0,0
112,112,10,0.001,0.018,0.137,0.138181,1000,0,0,0,0,0
113,113,10,0.001,0.018,0.1455,0.146613,1000,0,0,0,0,0
114,114,10,0.001,0.018,0.154,0.155052,1000,0,0,0,0,0
115,115,10,0.001,0.018,0.1625,0.163497,1000,0,0,0,0,0
116,116,10,0.001,0.018,0.171,0.171948,1000,0,0,0,0,0
117,117,10,0.001,0.018,0.1795,0.180403,1000,0,0,0,0,0
118,118,10,0.001,0.018,0.188,0.188862,1000,0,0,0,0,0
119,119,10,0.001,0.018,0.1965,0.197325,1000,0,0,0,0,0
120,120,10,0.001,0.018,0.205,0.205791,1000,0,0,0,0,0
121,121,10,0.001,0.018,0.2135,0.21426,1000,0,0,0,0,0
122,122,10,0.001,0.018,0.222,0.222731,1000,0,0,0,0,0
123,123,10,0.001,0.018,0.2305,0.231204,1000,0,0,0,0,0
124,124,10,0.001,0.018,0.239,0.239679,1000,0,0,0,0,0
125,125,10,0.001,0.018,0.2475,0.248156,1000,0,0,0,0,0
126,126,10,0.001,0.018,0.256,0.256634,1000,0,0,0,0,0
127,127,10,0.001,0.018,0.2645,0.265114,1000,0,0,0,0,0
128,128,10,0.001,0.018,0.273,0.273595,1000,0,0,0,0,0
129,129,10,0.001,0.018,0.2815,0.282077,1000,0,0,0,0,0
130,130,10,0.001,0.018,0.29,0.29056,1000,0,0,0,0,0
131,131,10,0.001,0.018,0.2985,0.299044,1000,0,0,0,0,0
132,132,10,0.001,0.018,0.307,0.307529,1000,0,0,0,0,0
133,133,10,0.001,0.018,0.3155,0.316015,1000,0,0,0,0,0
134,134,10,0.001,0.018,0.324,0.324501,1000,0,0,0,0,0
135,135,10,0.001,0.018,0.3325,0.332988,1000,0,0,0,0,0
136,136,10,0.001,0.018,0.341,0.341476,1000,0,0,0,0,0
137,137,10,0.001,0.018,0.3495,0.349965,1000,0,0,0,0,0
138,138,10,0.001,0.018,0.358,0.358454,1000,0,0,0,0,0
139,139,10,0.001,0.018,0.3665,0.366943,1000,0,0,0,0,0
140,140,10,0.001,0.018,0.375,0.375433,1000,0,0,0,0,0
141,141,10,0.001,0.018,0.3835,0.383924,1000,0,0,0,0,0
142,142,10,0.001,0.018,0.392,0.392414,1000,0,0,0,0,0
143,143,10,0.001,0.018,0.4005,0.400906,1000,0,0,0,0,0
144,144,10,0.001,0.0265,0.001,0.0265377,1000,0,0,0,0,0
145,145,10,0.001,0.0265,0.0095,0.0281691,1000,0,0,0,0,0
146,146,10,0.001,0.0265,0.018,0.0320507,1000,0,0,0,0,0
147,147,10,0.001,0.0265,0.0265,0.03749,1000,0,0,0,0,0
148,148,10,0.001,0.0265,0.035,0.0439118,1000,0,0,0,0,0
149,149,10,0.001,0.0265,0.0435,0.050946,1000,0,0,0,0,0
150,150,10,0.001,0.0265,0.052,0.0583717,1000,0,0,0,0,0
151,151,10,0.001,0.0265,0.0605,0.0660568,1000,0,0,0,0,0
152,152,10,0.001,0.0265,0.069,0.0739206,1000,0,0,0,0,0
153,153,10,0.001,0.0265,0.0775,0.0819115,1000,0,0,0,0,0
154,154,10,0.001,0.0265,0.086,0.0899958,1000,0,0,0,0,0
