"Idp","Vel:0","Vel:1","Vel:2","Rhop","Points:0","Points:1","Points:2"
718,0,0,0,1000.5,0.12,0,0.38
719,0,0,0,1000.4,0.12,0,0.4
720,0,0,0,1000.3,0.12,0,0.42
721,0,0,0,1000.2,0.12,0,0.44
722,0,0,0,1000.1,0.12,0,0.46
723,0,0,0,1000,0.12,0,0.48
724,0,0,0,1002.5,0.14,0,0.02
725,0,0,0,1002.4,0.14,0,0.04
726,0,0,0,1002.3,0.14,0,0.06
727,0,0,0,1002.2,0.14,0,0.08
728,0,0,0,1002.1,0.14,0,0.1
729,0,0,0,1001.9,0.14,0,0.12
730,0,0,0,1001.8,0.14,0,0.14
731,0,0,0,1001.7,0.14,0,0.16
732,0,0,0,1001.6,0.14,0,0.18
733,0,0,0,1001.5,0.14,0,0.2
734,0,0,0,1001.4,0.14,0,0.22
735,0,0,0,1001.3,0.14,0,0.24
736,0,0,0,1001.2,0.14,0,0.26
737,0,0,0,1001.1,0.14,0,0.28
738,0,0,0,1001,0.14,0,0.3
739,0,0,0,1000.9,0.14,0,0.32
740,0,0,0,1000.8,0.14,0,0.34
741,0,0,0,1000.7,0.14,0,0.36
742,0,0,0,1000.5,0.14,0,0.38
743,0,0,0,1000.4,0.14,0,0.4
744,0,0,0,1000.3,0.14,0,0.42
745,0,0,0,1000.2,0.14,0,0.44
746,0,0,0,1000.1,0.14,0,0.46
747,0,0,0,1000,0.14,0,0.48
748,0,0,0,1002.5,0.16,0,0.02
749,0,0,0,1002.4,0.16,0,0.04
750,0,0,0,1002.3,0.16,0,0.06
751,0,0,0,1002.2,0.16,0,0.08
752,0,0,0,1002.1,0.16,0,0.1
753,0,0,0,1001.9,0.16,0,0.12
754,0,0,0,1001.8,0.16,0,0.14
755,0,0,0,1001.7,0.16,0,0.16
756,0,0,0,1001.6,0.16,0,0.18
757,0,0,0,1001.5,0.16,0,0.2
758,0,0,0,1001.4,0.16,0,0.22
759,0,0,0,1001.3,0.16,0,0.24
760,0,0,0,1001.2,0.16,0,0.26
761,0,0,0,1001.1,0.16,0,0.28
762,0,0,0,1001,0.16,0,0.3
763,0,0,0,1000.9,0.16,0,0.32
764,0,0,0,1000.8,0.16,0,0.34
765,0,0,0,1000.7,0.16,0,0.36
766,0,0,0,1000.5,0.16,0,0.38
767,0,0,0,1000.4,0.16,0,0.4
768,0,0,0,1000.3,0.16,0,0.42
769,0,0,0,1000.2,0.16,0,0.44
770,0,0,0,1000.1,0.16,0,0.46
771,0,0,0,1000,0.16,0,0.48
772,0,0,0,1002.5,0.18,0,0.02
773,0,0,0,1002.4,0.18,0,0.04
774,0,0,0,1002.3,0.18,0,0.06
775,0,0,0,1002.2,0.18,0,0.08
776,0,0,0,1002.1,0.18,0,0.1
777,0,0,0,1001.9,0.18,0,0.12
778,0,0,0,1001.8,0.18,0,0.14
779,0,0,0,1001.7,0.18,0,0.16
780,0,0,0,1001.6,0.18,0,0.18
781,0,0,0,1001.5,0.18,0,0.2
782,0,0,0,1001.4,0.18,0,0.22
783,0,0,0,1001.3,0.18,0,0.24
784,0,0,0,1001.2,0.18,0,0.26
785,0,0,0,1001.1,0.18,0,0.28
786,0,0,0,1001,0.18,0,0.3
787,0,0,0,1000.9,0.18,0,0.32
788,0,0,0,1000.8,0.18,0,0.34
789,0,0,0,1000.7,0.18,0,0.36
790,0,0,0,1000.5,0.18,0,0.38
791,0,0,0,1000.4,0.18,0,0.4
