"Idp","Vel:0","Vel:1","Vel:2","Rhop","Type","Mk","Points:0","Points:1","Points:2"
85,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.17
86,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.17200000000000001
87,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.17400000000000002
88,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.176
89,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.178
90,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.18
91,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.182
92,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.184
93,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.186
94,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.188
95,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.19
96,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.192
97,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.194
98,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.196
99,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.198
100,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.2
101,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.202
102,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.20400000000000001
103,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.20600000000000002
104,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.20800000000000002
105,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.21
106,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.212
107,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.214
108,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.216
109,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.218
110,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.22
111,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.222
112,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.224
113,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.226
114,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.228
115,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.23
116,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.232
117,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.234
118,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.23600000000000002
119,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.23800000000000002
120,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.24
121,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.242
122,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.244
123,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.246
124,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.248
125,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.25
126,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.252
127,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.254
128,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.256
129,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.258
130,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.26
131,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.262
132,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.264
133,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.266
134,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.268
135,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.27
136,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.272
137,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.274
138,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.276
139,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.278
140,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.28
141,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.28200000000000003
142,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.28400000000000003
143,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.28600000000000003
144,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.28800000000000003
145,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.29
146,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.292
147,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.294
148,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.296
149,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.298
150,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.3
151,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.302
152,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.304
153,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.306
154,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.308
155,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.31
156,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.312
157,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.314
158,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.316
159,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.318
160,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.32
161,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.322
162,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.324
163,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.326
164,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.328
165,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.33
166,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.332
167,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.334
168,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.336
169,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.338
170,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.34
171,0.0,0.0,0.0,1000.0,0,10,-0.45,0.0,0.342
