"Idp","Mk","Normal:0","Normal:1","Normal:2","NormalSize","Points:0","Points:1","Points:2"
0,10,0.0050000000000000044,0.0,0.005,0.007071067811865479,-0.454,0.0,-0.004
1,10,0.0030000000000000027,0.0,0.005,0.005830951894845302,-0.452,0.0,-0.004
2,10,0.0010000000000000009,0.0,0.005,0.005099019513592785,-0.45,0.0,-0.004
3,10,0.0,0.0,0.005,0.005,-0.448,0.0,-0.004
4,10,0.0,0.0,0.005,0.005,-0.446,0.0,-0.004
5,10,0.0,0.0,0.005,0.005,-0.444,0.0,-0.004
6,10,0.0,0.0,0.005,0.005,-0.442,0.0,-0.004
7,10,0.0,0.0,0.005,0.005,-0.44,0.0,-0.004
8,10,0.0,0.0,0.005,0.005,-0.438,0.0,-0.004
9,10,0.0,0.0,0.005,0.005,-0.436,0.0,-0.004
10,10,0.0,0.0,0.005,0.005,-0.434,0.0,-0.004
11,10,0.0,0.0,0.005,0.005,-0.432,0.0,-0.004
12,10,0.0,0.0,0.005,0.005,-0.43,0.0,-0.004
13,10,0.0,0.0,0.005,0.005,-0.428,0.0,-0.004
14,10,0.0,0.0,0.005,0.005,-0.426,0.0,-0.004
15,10,0.0,0.0,0.005,0.005,-0.42400000000000004,0.0,-0.004
16,10,0.0,0.0,0.005,0.005,-0.42200000000000004,0.0,-0.004
17,10,0.0,0.0,0.005,0.005,-0.42000000000000004,0.0,-0.004
18,10,0.0,0.0,0.005,0.005,-0.41800000000000004,0.0,-0.004
19,10,0.0,0.0,0.005,0.005,-0.41600000000000004,0.0,-0.004
20,10,0.0,0.0,0.005,0.005,-0.41400000000000003,0.0,-0.004
21,10,0.0,0.0,0.005,0.005,-0.41200000000000003,0.0,-0.004
22,10,0.0,0.0,0.005,0.005,-0.41000000000000003,0.0,-0.004
23,10,0.0,0.0,0.005,0.005,-0.40800000000000003,0.0,-0.004
24,10,0.0,0.0,0.005,0.005,-0.406,0.0,-0.004
25,10,0.0,0.0,0.005,0.005,-0.404,0.0,-0.004
26,10,0.0,0.0,0.005,0.005,-0.402,0.0,-0.004
27,10,0.0,0.0,0.005,0.005,-0.4,0.0,-0.004
28,10,0.0,0.0,0.005,0.005,-0.398,0.0,-0.004
29,10,0.0,0.0,0.005,0.005,-0.396,0.0,-0.004
30,10,0.0,0.0,0.005,0.005,-0.394,0.0,-0.004
31,10,0.0,0.0,0.005,0.005,-0.392,0.0,-0.004
32,10,0.0,0.0,0.005,0.005,-0.39,0.0,-0.004
33,10,0.0,0.0,0.005,0.005,-0.388,0.0,-0.004
34,10,0.0,0.0,0.005,0.005,-0.386,0.0,-0.004
35,10,0.0,0.0,0.005,0.005,-0.384,0.0,-0.004
36,10,0.0,0.0,0.005,0.005,-0.382,0.0,-0.004
37,10,0.0,0.0,0.005,0.005,-0.38,0.0,-0.004
38,10,0.0,0.0,0.005,0.005,-0.378,0.0,-0.004
39,10,0.0,0.0,0.005,0.005,-0.376,0.0,-0.004
40,10,0.0,0.0,0.005,0.005,-0.374,0.0,-0.004
41,10,0.0,0.0,0.005,0.005,-0.372,0.0,-0.004
42,10,0.0,0.0,0.005,0.005,-0.37,0.0,-0.004
43,10,0.0,0.0,0.005,0.005,-0.368,0.0,-0.004
44,10,0.0,0.0,0.005,0.005,-0.366,0.0,-0.004
45,10,0.0,0.0,0.005,0.005,-0.364,0.0,-0.004
46,10,0.0,0.0,0.005,0.005,-0.362,0.0,-0.004
47,10,0.0,0.0,0.005,0.005,-0.36,0.0,-0.004
48,10,0.0,0.0,0.005,0.005,-0.358,0.0,-0.004
49,10,0.0,0.0,0.005,0.005,-0.356,0.0,-0.004
50,10,0.0,0.0,0.005,0.005,-0.354,0.0,-0.004
51,10,0.0,0.0,0.005,0.005,-0.352,0.0,-0.004
52,10,0.0,0.0,0.005,0.005,-0.35,0.0,-0.004
53,10,0.0,0.0,0.005,0.005,-0.34800000000000003,0.0,-0.004
54,10,0.0,0.0,0.005,0.005,-0.34600000000000003,0.0,-0.004
55,10,0.0,0.0,0.005,0.005,-0.34400000000000003,0.0,-0.004
56,10,0.0,0.0,0.005,0.005,-0.342,0.0,-0.004
57,10,0.0,0.0,0.005,0.005,-0.34,0.0,-0.004
58,10,0.0,0.0,0.005,0.005,-0.338,0.0,-0.004
59,10,0.0,0.0,0.005,0.005,-0.336,0.0,-0.004
60,10,0.0,0.0,0.005,0.005,-0.334,0.0,-0.004
61,10,0.0,0.0,0.005,0.005,-0.332,0.0,-0.004
62,10,0.0,0.0,0.005,0.005,-0.33,0.0,-0.004
63,10,0.0,0.0,0.005,0.005,-0.328,0.0,-0.004
64,10,0.0,0.0,0.005,0.005,-0.326,0.0,-0.004
65,10,0.0,0.0,0.005,0.005,-0.324,0.0,-0.004
66,10,0.0,0.0,0.005,0.005,-0.322,0.0,-0.004
67,10,0.0,0.0,0.005,0.005,-0.32,0.0,-0.004
68,10,0.0,0.0,0.005,0.005,-0.318,0.0,-0.004
69,10,0.0,0.0,0.005,0.005,-0.316,0.0,-0.004
70,10,0.0,0.0,0.005,0.005,-0.314,0.0,-0.004
71,10,0.0,0.0,0.005,0.005,-0.312,0.0,-0.004
72,10,0.0,0.0,0.005,0.005,-0.31,0.0,-0.004
