"Idp","Mk","Normal:0","Normal:1","Normal:2","NormalSize","Points:0","Points:1","Points:2"
0,10,0.007000000000000006,0.0,0.007,0.00989949493661167,-0.456,0.0,-0.006
1,10,0.0050000000000000044,0.0,0.007,0.00860232526704263,-0.454,0.0,-0.006
2,10,0.0030000000000000027,0.0,0.007,0.00761577310586391,-0.452,0.0,-0.006
3,10,0.0010000000000000009,0.0,0.007,0.007071067811865475,-0.45,0.0,-0.006
4,10,0.0,0.0,0.007,0.007,-0.448,0.0,-0.006
5,10,0.0,0.0,0.007,0.007,-0.446,0.0,-0.006
6,10,0.0,0.0,0.007,0.007,-0.444,0.0,-0.006
7,10,0.0,0.0,0.007,0.007,-0.442,0.0,-0.006
8,10,0.0,0.0,0.007,0.007,-0.44,0.0,-0.006
9,10,0.0,0.0,0.007,0.007,-0.438,0.0,-0.006
10,10,0.0,0.0,0.007,0.007,-0.436,0.0,-0.006
11,10,0.0,0.0,0.007,0.007,-0.434,0.0,-0.006
12,10,0.0,0.0,0.007,0.007,-0.432,0.0,-0.006
13,10,0.0,0.0,0.007,0.007,-0.43,0.0,-0.006
14,10,0.0,0.0,0.007,0.007,-0.428,0.0,-0.006
15,10,0.0,0.0,0.007,0.007,-0.42600000000000005,0.0,-0.006
16,10,0.0,0.0,0.007,0.007,-0.42400000000000004,0.0,-0.006
17,10,0.0,0.0,0.007,0.007,-0.42200000000000004,0.0,-0.006
18,10,0.0,0.0,0.007,0.007,-0.42000000000000004,0.0,-0.006
19,10,0.0,0.0,0.007,0.007,-0.41800000000000004,0.0,-0.006
20,10,0.0,0.0,0.007,0.007,-0.41600000000000004,0.0,-0.006
21,10,0.0,0.0,0.007,0.007,-0.41400000000000003,0.0,-0.006
22,10,0.0,0.0,0.007,0.007,-0.41200000000000003,0.0,-0.006
23,10,0.0,0.0,0.007,0.007,-0.41000000000000003,0.0,-0.006
24,10,0.0,0.0,0.007,0.007,-0.40800000000000003,0.0,-0.006
25,10,0.0,0.0,0.007,0.007,-0.406,0.0,-0.006
26,10,0.0,0.0,0.007,0.007,-0.404,0.0,-0.006
27,10,0.0,0.0,0.007,0.007,-0.402,0.0,-0.006
28,10,0.0,0.0,0.007,0.007,-0.4,0.0,-0.006
29,10,0.0,0.0,0.007,0.007,-0.398,0.0,-0.006
30,10,0.0,0.0,0.007,0.007,-0.396,0.0,-0.006
31,10,0.0,0.0,0.007,0.007,-0.394,0.0,-0.006
32,10,0.0,0.0,0.007,0.007,-0.392,0.0,-0.006
33,10,0.0,0.0,0.007,0.007,-0.39,0.0,-0.006
34,10,0.0,0.0,0.007,0.007,-0.388,0.0,-0.006
35,10,0.0,0.0,0.007,0.007,-0.386,0.0,-0.006
36,10,0.0,0.0,0.007,0.007,-0.384,0.0,-0.006
37,10,0.0,0.0,0.007,0.007,-0.382,0.0,-0.006
38,10,0.0,0.0,0.007,0.007,-0.38,0.0,-0.006
39,10,0.0,0.0,0.007,0.007,-0.378,0.0,-0.006
40,10,0.0,0.0,0.007,0.007,-0.376,0.0,-0.006
41,10,0.0,0.0,0.007,0.007,-0.374,0.0,-0.006
42,10,0.0,0.0,0.007,0.007,-0.372,0.0,-0.006
43,10,0.0,0.0,0.007,0.007,-0.37,0.0,-0.006
44,10,0.0,0.0,0.007,0.007,-0.368,0.0,-0.006
45,10,0.0,0.0,0.007,0.007,-0.366,0.0,-0.006
46,10,0.0,0.0,0.007,0.007,-0.364,0.0,-0.006
47,10,0.0,0.0,0.007,0.007,-0.362,0.0,-0.006
48,10,0.0,0.0,0.007,0.007,-0.36,0.0,-0.006
49,10,0.0,0.0,0.007,0.007,-0.358,0.0,-0.006
50,10,0.0,0.0,0.007,0.007,-0.356,0.0,-0.006
51,10,0.0,0.0,0.007,0.007,-0.354,0.0,-0.006
52,10,0.0,0.0,0.007,0.007,-0.352,0.0,-0.006
53,10,0.0,0.0,0.007,0.007,-0.35000000000000003,0.0,-0.006
54,10,0.0,0.0,0.007,0.007,-0.34800000000000003,0.0,-0.006
55,10,0.0,0.0,0.007,0.007,-0.34600000000000003,0.0,-0.006
56,10,0.0,0.0,0.007,0.007,-0.34400000000000003,0.0,-0.006
57,10,0.0,0.0,0.007,0.007,-0.342,0.0,-0.006
58,10,0.0,0.0,0.007,0.007,-0.34,0.0,-0.006
59,10,0.0,0.0,0.007,0.007,-0.338,0.0,-0.006
60,10,0.0,0.0,0.007,0.007,-0.336,0.0,-0.006
61,10,0.0,0.0,0.007,0.007,-0.334,0.0,-0.006
62,10,0.0,0.0,0.007,0.007,-0.332,0.0,-0.006
63,10,0.0,0.0,0.007,0.007,-0.33,0.0,-0.006
64,10,0.0,0.0,0.007,0.007,-0.328,0.0,-0.006
65,10,0.0,0.0,0.007,0.007,-0.326,0.0,-0.006
66,10,0.0,0.0,0.007,0.007,-0.324,0.0,-0.006
67,10,0.0,0.0,0.007,0.007,-0.322,0.0,-0.006
68,10,0.0,0.0,0.007,0.007,-0.32,0.0,-0.006
69,10,0.0,0.0,0.007,0.007,-0.318,0.0,-0.006
70,10,0.0,0.0,0.007,0.007,-0.316,0.0,-0.006
71,10,0.0,0.0,0.007,0.007,-0.314,0.0,-0.006
72,10,0.0,0.0,0.007,0.007,-0.312,0.0,-0.006
73,10,0.0,0.0,0.007,0.007,-0.31000000000000005,0.0,-0.006
74,10,0.0,0.0,0.007,0.007,-0.30800000000000005,0.0,-0.006
75,10,0.0,0.0,0.007,0.007,-0.30600000000000005,0.0,-0.006
76,10,0.0,0.0,0.007,0.007,-0.30400000000000005,0.0,-0.006
77,10,0.0,0.0,0.007,0.007,-0.30200000000000005,0.0,-0.006
78,10,0.0,0.0,0.007,0.007,-0.30000000000000004,0.0,-0.006
79,10,0.0,0.0,0.007,0.007,-0.29800000000000004,0.0,-0.006
80,10,0.0,0.0,0.007,0.007,-0.29600000000000004,0.0,-0.006
81,10,0.0,0.0,0.007,0.007,-0.29400000000000004,0.0,-0.006
82,10,0.0,0.0,0.007,0.007,-0.29200000000000004,0.0,-0.006
83,10,0.0,0.0,0.007,0.007,-0.29000000000000004,0.0,-0.006
84,10,0.0,0.0,0.007,0.007,-0.28800000000000003,0.0,-0.006
85,10,0.0,0.0,0.007,0.007,-0.28600000000000003,0.0,-0.006
86,10,0.0,0.0,0.007,0.007,-0.28400000000000003,0.0,-0.006
87,10,0.0,0.0,0.007,0.007,-0.28200000000000003,0.0,-0.006
88,10,0.0,0.0,0.007,0.007,-0.28,0.0,-0.006
89,10,0.0,0.0,0.007,0.007,-0.278,0.0,-0.006
90,10,0.0,0.0,0.007,0.007,-0.276,0.0,-0.006
91,10,0.0,0.0,0.007,0.007,-0.274,0.0,-0.006
92,10,0.0,0.0,0.007,0.007,-0.272,0.0,-0.006
93,10,0.0,0.0,0.007,0.007,-0.27,0.0,-0.006
94,10,0.0,0.0,0.007,0.007,-0.268,0.0,-0.006
95,10,0.0,0.0,0.007,0.007,-0.266,0.0,-0.006
96,10,0.0,0.0,0.007,0.007,-0.264,0.0,-0.006
97,10,0.0,0.0,0.007,0.007,-0.262,0.0,-0.006
98,10,0.0,0.0,0.007,0.007,-0.26,0.0,-0.006
99,10,0.0,0.0,0.007,0.007,-0.258,0.0,-0.006
100,10,0.0,0.0,0.007,0.007,-0.256,0.0,-0.006
101,10,0.0,0.0,0.007,0.007,-0.254,0.0,-0.006
102,10,0.0,0.0,0.007,0.007,-0.252,0.0,-0.006
103,10,0.0,0.0,0.007,0.007,-0.25,0.0,-0.006
104,10,0.0,0.0,0.007,0.007,-0.248,0.0,-0.006
105,10,0.0,0.0,0.007,0.007,-0.24600000000000002,0.0,-0.006
106,10,0.0,0.0,0.007,0.007,-0.24400000000000002,0.0,-0.006
107,10,0.0,0.0,0.007,0.007,-0.24200000000000002,0.0,-0.006
108,10,0.0,0.0,0.007,0.007,-0.24000000000000002,0.0,-0.006
109,10,0.0,0.0,0.007,0.007,-0.23800000000000002,0.0,-0.006
110,10,0.0,0.0,0.007,0.007,-0.23600000000000002,0.0,-0.006
111,10,0.0,0.0,0.007,0.007,-0.234,0.0,-0.006
112,10,0.0,0.0,0.007,0.007,-0.232,0.0,-0.006
113,10,0.0,0.0,0.007,0.007,-0.23,0.0,-0.006
114,10,0.0,0.0,0.007,0.007,-0.228,0.0,-0.006
115,10,0.0,0.0,0.007,0.007,-0.226,0.0,-0.006
116,10,0.0,0.0,0.007,0.007,-0.224,0.0,-0.006
117,10,0.0,0.0,0.007,0.007,-0.222,0.0,-0.006
118,10,0.0,0.0,0.007,0.007,-0.22,0.0,-0.006
119,10,0.0,0.0,0.007,0.007,-0.218,0.0,-0.006
120,10,0.0,0.0,0.007,0.007,-0.21600000000000003,0.0,-0.006
121,10,0.0,0.0,0.007,0.007,-0.21400000000000002,0.0,-0.006
122,10,0.0,0.0,0.007,0.007,-0.21200000000000002,0.0,-0.006
123,10,0.0,0.0,0.007,0.007,-0.21000000000000002,0.0,-0.006
124,10,0.0,0.0,0.007,0.007,-0.20800000000000002,0.0,-0.006
125,10,0.0,0.0,0.007,0.007,-0.20600000000000002,0.0,-0.006
126,10,0.0,0.0,0.007,0.007,-0.20400000000000001,0.0,-0.006
127,10,0.0,0.0,0.007,0.007,-0.202,0.0,-0.006
128,10,0.0,0.0,0.007,0.007,-0.2,0.0,-0.006
129,10,0.0,0.0,0.007,0.007,-0.198,0.0,-0.006
130,10,0.0,0.0,0.007,0.007,-0.196,0.0,-0.006
131,10,0.0,0.0,0.007,0.007,-0.194,0.0,-0.006
132,10,0.0,0.0,0.007,0.007,-0.192,0.0,-0.006
133,10,0.0,0.0,0.007,0.007,-0.19,0.0,-0.006
134,10,0.0,0.0,0.007,0.007,-0.188,0.0,-0.006
135,10,0.0,0.0,0.007,0.007,-0.186,0.0,-0.006
136,10,0.0,0.0,0.007,0.007,-0.184,0.0,-0.006
137,10,0.0,0.0,0.007,0.007,-0.182,0.0,-0.006
138,10,0.0,0.0,0.007,0.007,-0.18,0.0,-0.006
139,10,0.0,0.0,0.007,0.007,-0.178,0.0,-0.006
140,10,0.0,0.0,0.007,0.007,-0.176,0.0,-0.006
141,10,0.0,0.0,0.007,0.007,-0.174,0.0,-0.006
142,10,0.0,0.0,0.007,0.007,-0.172,0.0,-0.006
143,10,0.0,0.0,0.007,0.007,-0.16999999999999998,0.0,-0.006
144,10,0.0,0.0,0.007,0.007,-0.16799999999999998,0.0,-0.006
145,10,0.0,0.0,0.007,0.007,-0.16600000000000004,0.0,-0.006
146,10,0.0,0.0,0.007,0.007,-0.16400000000000003,0.0,-0.006
147,10,0.0,0.0,0.007,0.007,-0.16200000000000003,0.0,-0.006
148,10,0.0,0.0,0.007,0.007,-0.16000000000000003,0.0,-0.006
149,10,0.0,0.0,0.007,0.007,-0.15800000000000003,0.0,-0.006
150,10,0.0,0.0,0.007,0.007,-0.15600000000000003,0.0,-0.006
151,10,0.0,0.0,0.007,0.007,-0.15400000000000003,0.0,-0.006
152,10,0.0,0.0,0.007,0.007,-0.15200000000000002,0.0,-0.006
153,10,0.0,0.0,0.007,0.007,-0.15000000000000002,0.0,-0.006
154,10,0.0,0.0,0.007,0.007,-0.14800000000000002,0.0,-0.006
155,10,0.0,0.0,0.007,0.007,-0.14600000000000002,0.0,-0.006
156,10,0.0,0.0,0.007,0.007,-0.14400000000000002,0.0,-0.006
157,10,0.0,0.0,0.007,0.007,-0.14200000000000002,0.0,-0.006
158,10,0.0,0.0,0.007,0.007,-0.14,0.0,-0.006
159,10,0.0,0.0,0.007,0.007,-0.138,0.0,-0.006
160,10,0.0,0.0,0.007,0.007,-0.136,0.0,-0.006
161,10,0.0,0.0,0.007,0.007,-0.134,0.0,-0.006
162,10,0.0,0.0,0.007,0.007,-0.132,0.0,-0.006
163,10,0.0,0.0,0.007,0.007,-0.13,0.0,-0.006
164,10,0.0,0.0,0.007,0.007,-0.128,0.0,-0.006
165,10,0.0,0.0,0.007,0.007,-0.126,0.0,-0.006
166,10,0.0,0.0,0.007,0.007,-0.124,0.0,-0.006
167,10,0.0,0.0,0.007,0.007,-0.122,0.0,-0.006
168,10,0.0,0.0,0.007,0.007,-0.12,0.0,-0.006
169,10,0.0,0.0,0.007,0.007,-0.118,0.0,-0.006
170,10,0.0,0.0,0.007,0.007,-0.11599999999999999,0.0,-0.006
171,10,0.0,0.0,0.007,0.007,-0.11399999999999999,0.0,-0.006
172,10,0.0,0.0,0.007,0.007,-0.11199999999999999,0.0,-0.006
173,10,0.0,0.0,0.007,0.007,-0.10999999999999999,0.0,-0.006
174,10,0.0,0.0,0.007,0.007,-0.10799999999999998,0.0,-0.006
175,10,0.0,0.0,0.007,0.007,-0.10599999999999998,0.0,-0.006
