"Idp","Mk","Normal:0","Normal:1","Normal:2","NormalSize","Points:0","Points:1","Points:2"
0,10,0.04999999999999999,0.0,0.05,0.07071067811865475,-0.49,0.0,-0.04
1,10,0.03999999999999998,0.0,0.05,0.06403124237432847,-0.48,0.0,-0.04
2,10,0.02999999999999997,0.0,0.05,0.058309518948452994,-0.47,0.0,-0.04
3,10,0.019999999999999962,0.0,0.05,0.05385164807134503,-0.45999999999999996,0.0,-0.04
4,10,0.010000000000000009,0.0,0.05,0.050990195135927854,-0.45,0.0,-0.04
5,10,0.0,0.0,0.05,0.05,-0.44,0.0,-0.04
6,10,0.0,0.0,0.05,0.05,-0.43,0.0,-0.04
7,10,0.0,0.0,0.05,0.05,-0.42,0.0,-0.04
8,10,0.0,0.0,0.05,0.05,-0.41,0.0,-0.04
9,10,0.0,0.0,0.05,0.05,-0.4,0.0,-0.04
10,10,0.0,0.0,0.05,0.05,-0.39,0.0,-0.04
11,10,0.0,0.0,0.05,0.05,-0.38,0.0,-0.04
12,10,0.0,0.0,0.05,0.05,-0.37,0.0,-0.04
13,10,0.0,0.0,0.05,0.05,-0.36,0.0,-0.04
14,10,0.0,0.0,0.05,0.05,-0.35,0.0,-0.04
15,10,0.0,0.0,0.05,0.05,-0.33999999999999997,0.0,-0.04
16,10,0.0,0.0,0.05,0.05,-0.32999999999999996,0.0,-0.04
17,10,0.0,0.0,0.05,0.05,-0.31999999999999995,0.0,-0.04
18,10,0.0,0.0,0.05,0.05,-0.31,0.0,-0.04
19,10,0.0,0.0,0.05,0.05,-0.3,0.0,-0.04
20,10,0.0,0.0,0.05,0.05,-0.29,0.0,-0.04
21,10,0.0,0.0,0.05,0.05,-0.28,0.0,-0.04
22,10,0.0,0.0,0.05,0.05,-0.27,0.0,-0.04
23,10,0.0,0.0,0.05,0.05,-0.26,0.0,-0.04
24,10,0.0,0.0,0.05,0.05,-0.25,0.0,-0.04
25,10,0.0,0.0,0.05,0.05,-0.24,0.0,-0.04
26,10,0.0,0.0,0.05,0.05,-0.22999999999999998,0.0,-0.04
27,10,0.0,0.0,0.05,0.05,-0.21999999999999997,0.0,-0.04
28,10,0.0,0.0,0.05,0.05,-0.20999999999999996,0.0,-0.04
29,10,0.0,0.0,0.05,0.05,-0.2,0.0,-0.04
30,10,0.0,0.0,0.05,0.05,-0.19,0.0,-0.04
31,10,0.0,0.0,0.05,0.05,-0.18,0.0,-0.04
32,10,0.0,0.0,0.05,0.05,-0.16999999999999998,0.0,-0.04
33,10,0.0,0.0,0.05,0.05,-0.15999999999999998,0.0,-0.04
34,10,0.0,0.0,0.05,0.05,-0.14999999999999997,0.0,-0.04
35,10,0.0,0.0,0.05,0.05,-0.13999999999999996,0.0,-0.04
36,10,0.0,0.0,0.05,0.05,-0.13,0.0,-0.04
37,10,0.0,0.0,0.05,0.05,-0.12,0.0,-0.04
38,10,0.0,0.0,0.05,0.05,-0.10999999999999999,0.0,-0.04
39,10,0.0,0.0,0.05,0.05,-0.09999999999999998,0.0,-0.04
40,10,0.0,0.0,0.05,0.05,-0.08999999999999997,0.0,-0.04
41,10,0.0,0.0,0.05,0.05,-0.07999999999999996,0.0,-0.04
42,10,0.0,0.0,0.05,0.05,-0.07,0.0,-0.04
43,10,0.0,0.0,0.05,0.05,-0.06,0.0,-0.04
44,10,0.0,0.0,0.05,0.05,-0.04999999999999999,0.0,-0.04
45,10,0.0,0.0,0.05,0.05,-0.03999999999999998,0.0,-0.04
46,10,0.0,0.0,0.05,0.05,-0.02999999999999997,0.0,-0.04
47,10,0.0,0.0,0.05,0.05,-0.019999999999999962,0.0,-0.04
48,10,0.0,0.0,0.05,0.05,-0.010000000000000009,0.0,-0.04
49,10,0.0,0.0,0.05,0.05,0.0,0.0,-0.04
50,10,0.0,0.0,0.05,0.05,0.010000000000000009,0.0,-0.04
51,10,0.0,0.0,0.05,0.05,0.020000000000000018,0.0,-0.04
52,10,0.0,0.0,0.05,0.05,0.030000000000000027,0.0,-0.04
53,10,0.0,0.0,0.05,0.05,0.040000000000000036,0.0,-0.04
54,10,0.0,0.0,0.05,0.05,0.050000000000000044,0.0,-0.04
55,10,0.0,0.0,0.05,0.05,0.06000000000000005,0.0,-0.04
56,10,0.0,0.0,0.05,0.05,0.07000000000000006,0.0,-0.04
57,10,0.0,0.0,0.05,0.05,0.08000000000000007,0.0,-0.04
