"Idp","Vel:0","Vel:1","Vel:2","Rhop","Type","Mk","Points:0","Points:1","Points:2"
7120,0.0,0.0,0.0,1001.1189059810721,3,1,-0.448,0.0,0.002
7121,0.0,0.0,0.0,1001.0943951410791,3,1,-0.448,0.0,0.004
7122,0.0,0.0,0.0,1001.0698806998099,3,1,-0.448,0.0,0.006
7123,0.0,0.0,0.0,1001.0453626561182,3,1,-0.448,0.0,0.008
7124,0.0,0.0,0.0,1001.0208410088566,3,1,-0.448,0.0,0.01
7125,0.0,0.0,0.0,1000.9963157568773,3,1,-0.448,0.0,0.012
7126,0.0,0.0,0.0,1000.9717868990319,3,1,-0.448,0.0,0.014
7127,0.0,0.0,0.0,1000.9472544341718,3,1,-0.448,0.0,0.016
7128,0.0,0.0,0.0,1000.9227183611475,3,1,-0.448,0.0,0.018
7129,0.0,0.0,0.0,1000.8981786788087,3,1,-0.448,0.0,0.02
7130,0.0,0.0,0.0,1000.8736353860055,3,1,-0.448,0.0,0.022
7131,0.0,0.0,0.0,1000.8490884815859,3,1,-0.448,0.0,0.024
7132,0.0,0.0,0.0,1000.8245379643987,3,1,-0.448,0.0,0.026
7133,0.0,0.0,0.0,1000.7999838332919,3,1,-0.448,0.0,0.028
7134,0.0,0.0,0.0,1000.7754260871122,3,1,-0.448,0.0,0.03
7135,0.0,0.0,0.0,1000.7508647247063,3,1,-0.448,0.0,0.032
7136,0.0,0.0,0.0,1000.7262997449204,3,1,-0.448,0.0,0.034
7137,0.0,0.0,0.0,1000.7017311465997,3,1,-0.448,0.0,0.036
7138,0.0,0.0,0.0,1000.6771589285894,3,1,-0.448,0.0,0.038
7139,0.0,0.0,0.0,1000.652583089734,3,1,-0.448,0.0,0.04
7140,0.0,0.0,0.0,1000.6280036288769,3,1,-0.448,0.0,0.042
7141,0.0,0.0,0.0,1000.6034205448613,3,1,-0.448,0.0,0.044
7142,0.0,0.0,0.0,1000.5788338365301,3,1,-0.448,0.0,0.046
7143,0.0,0.0,0.0,1000.5542435027251,3,1,-0.448,0.0,0.048
7144,0.0,0.0,0.0,1000.529649542288,3,1,-0.448,0.0,0.05
7145,0.0,0.0,0.0,1000.5050519540597,3,1,-0.448,0.0,0.052
7146,0.0,0.0,0.0,1000.4804507368805,3,1,-0.448,0.0,0.054
7147,0.0,0.0,0.0,1000.4558458895903,3,1,-0.448,0.0,0.056
7148,0.0,0.0,0.0,1000.4312374110281,3,1,-0.448,0.0,0.058
7149,0.0,0.0,0.0,1000.4066253000327,3,1,-0.448,0.0,0.06
7150,0.0,0.0,0.0,1000.3820095554423,3,1,-0.448,0.0,0.062
7151,0.0,0.0,0.0,1000.3573901760942,3,1,-0.448,0.0,0.064
7152,0.0,0.0,0.0,1000.3327671608255,3,1,-0.448,0.0,0.066
7153,0.0,0.0,0.0,1000.3081405084722,3,1,-0.448,0.0,0.068
7154,0.0,0.0,0.0,1000.2835102178705,3,1,-0.448,0.0,0.07
7155,0.0,0.0,0.0,1000.2588762878555,3,1,-0.448,0.0,0.072
7156,0.0,0.0,0.0,1000.2342387172619,3,1,-0.448,0.0,0.074
7157,0.0,0.0,0.0,1000.2095975049234,3,1,-0.448,0.0,0.076
7158,0.0,0.0,0.0,1000.184952649674,3,1,-0.448,0.0,0.078
7159,0.0,0.0,0.0,1000.1603041503462,3,1,-0.448,0.0,0.08
7160,0.0,0.0,0.0,1000.1356520057727,3,1,-0.448,0.0,0.082
7161,0.0,0.0,0.0,1000.1109962147849,3,1,-0.448,0.0,0.084
7162,0.0,0.0,0.0,1000.086336776214,3,1,-0.448,0.0,0.086
7163,0.0,0.0,0.0,1000.0616736888912,3,1,-0.448,0.0,0.088
7164,0.0,0.0,0.0,1000.0370069516459,3,1,-0.448,0.0,0.09
7165,0.0,0.0,0.0,1000.0123365633078,3,1,-0.448,0.0,0.092
7166,0.0,0.0,0.0,1001.1189059810721,3,1,-0.446,0.0,0.002
7167,0.0,0.0,0.0,1001.0943951410791,3,1,-0.446,0.0,0.004
7168,0.0,0.0,0.0,1001.0698806998099,3,1,-0.446,0.0,0.006
7169,0.0,0.0,0.0,1001.0453626561182,3,1,-0.446,0.0,0.008
7170,0.0,0.0,0.0,1001.0208410088566,3,1,-0.446,0.0,0.01
7171,0.0,0.0,0.0,1000.9963157568773,3,1,-0.446,0.0,0.012
7172,0.0,0.0,0.0,1000.9717868990319,3,1,-0.446,0.0,0.014
