"Idp","Mk","Normal:0","Normal:1","Normal:2","NormalSize","Points:0","Points:1","Points:2"
0,1,0.0075,0.0,0.0025,0.007905694150420948,-0.005,0.0,0.0
1,1,0.005,0.0,0.0025,0.005590169943749474,-0.0025,0.0,0.0
2,1,0.0025,0.0,0.0025,0.0035355339059327377,0.0,0.0,0.0
3,1,0.0,0.0,0.0025,0.0025,0.0025,0.0,0.0
4,1,0.0,0.0,0.0025,0.0025,0.005,0.0,0.0
5,1,0.0,0.0,0.0025,0.0025,0.0075,0.0,0.0
6,1,0.0,0.0,0.0025,0.0025,0.01,0.0,0.0
7,1,0.0,0.0,0.0025,0.0025,0.0125,0.0,0.0
8,1,0.0,0.0,0.0025,0.0025,0.015,0.0,0.0
9,1,0.0,0.0,0.0025,0.0025,0.0175,0.0,0.0
10,1,0.0,0.0,0.0025,0.0025,0.02,0.0,0.0
11,1,0.0,0.0,0.0025,0.0025,0.0225,0.0,0.0
12,1,0.0,0.0,0.0025,0.0025,0.025,0.0,0.0
13,1,0.0,0.0,0.0025,0.0025,0.0275,0.0,0.0
14,1,0.0,0.0,0.0025,0.0025,0.03,0.0,0.0
15,1,0.0,0.0,0.0025,0.0025,0.0325,0.0,0.0
16,1,0.0,0.0,0.0025,0.0025,0.035,0.0,0.0
17,1,0.0,0.0,0.0025,0.0025,0.0375,0.0,0.0
18,1,0.0,0.0,0.0025,0.0025,0.04,0.0,0.0
19,1,0.0,0.0,0.0025,0.0025,0.0425,0.0,0.0
20,1,0.0,0.0,0.0025,0.0025,0.045,0.0,0.0
21,1,0.0,0.0,0.0025,0.0025,0.0475,0.0,0.0
22,1,0.0,0.0,0.0025,0.0025,0.05,0.0,0.0
23,1,0.0,0.0,0.0025,0.0025,0.0525,0.0,0.0
24,1,0.0,0.0,0.0025,0.0025,0.055,0.0,0.0
25,1,0.0,0.0,0.0025,0.0025,0.0575,0.0,0.0
26,1,0.0,0.0,0.0025,0.0025,0.06,0.0,0.0
27,1,0.0,0.0,0.0025,0.0025,0.0625,0.0,0.0
28,1,0.0,0.0,0.0025,0.0025,0.065,0.0,0.0
29,1,0.0,0.0,0.0025,0.0025,0.0675,0.0,0.0
30,1,0.0,0.0,0.0025,0.0025,0.07,0.0,0.0
31,1,0.0,0.0,0.0025,0.0025,0.0725,0.0,0.0
32,1,0.0,0.0,0.0025,0.0025,0.075,0.0,0.0
33,1,0.0,0.0,0.0025,0.0025,0.0775,0.0,0.0
34,1,0.0,0.0,0.0025,0.0025,0.08,0.0,0.0
35,1,0.0,0.0,0.0025,0.0025,0.0825,0.0,0.0
36,1,0.0,0.0,0.0025,0.0025,0.085,0.0,0.0
37,1,0.0,0.0,0.0025,0.0025,0.0875,0.0,0.0
