"Idp","Vel:0","Vel:1","Vel:2","Rhop","Press","EnKin","EnPot","EnInt","EnTot","Type","Points:0","Points:1","Points:2"
648,5.3707e-05,0,3.7016e-05,1002.6,10341,8.5092e-10,1.8272e-05,0.0051906,0.0052088,,4.6817e-06,0,4.6565e-06
649,-8.9712e-06,0,1.4284e-05,1002.5,10141,5.6905e-11,0.07849,0.0049946,0.083484,,-5.3446e-07,0,0.020003
650,-2.0142e-05,0,-2.4108e-05,1002.5,9942.7,1.9738e-10,0.15698,0.0048038,0.16178,,7.8718e-07,0,0.040004
651,4.8097e-06,0,-9.272e-06,1002.4,9744.1,2.1821e-11,0.23546,0.0046164,0.24008,,-5.927e-07,0,0.060005
699,-9.2994e-07,0,1.5558e-05,1002.6,10340,4.8582e-11,1.8909e-05,0.0051898,0.0052087,,0.020003,0,4.8189e-06
700,5.6196e-06,0,3.3268e-05,1002.5,10141,2.2766e-10,0.078508,0.0049948,0.083503,,0.019998,0,0.020007
701,5.6529e-05,0,4.9972e-05,1002.5,9942.7,1.1385e-09,0.157,0.0048038,0.1618,,0.02,0,0.040011
702,2.8556e-06,0,1.0066e-05,1002.4,9743.9,2.1897e-11,0.23549,0.0046161,0.2401,,0.019999,0,0.060012
750,5.5936e-06,0,-2.8626e-05,1002.6,10341,1.7015e-10,1.5585e-05,0.0051903,0.0052059,,0.040002,0,3.9718e-06
751,-3.2639e-05,0,5.4202e-06,1002.5,10142,2.1894e-10,0.078494,0.0049951,0.08349,,0.039997,0,0.020004
752,-2.9767e-05,0,-2.6016e-05,1002.5,9943,3.1258e-10,0.15698,0.004804,0.16178,,0.039998,0,0.040004
753,-3.9996e-06,0,-2.9718e-05,1002.4,9744.1,1.7983e-10,0.23546,0.0046164,0.24008,,0.039997,0,0.060005
801,1.9037e-05,0,1.5503e-05,1002.6,10340,1.2055e-10,2.8889e-05,0.0051901,0.005219,,0.059999,0,7.3621e-06
802,3.3671e-05,0,-1.107e-08,1002.5,10142,2.2675e-10,0.078523,0.0049951,0.083518,,0.059997,0,0.020011
803,3.4184e-05,0,-1.4692e-05,1002.5,9943,2.7688e-10,0.15702,0.004804,0.16182,,0.059997,0,0.040015
804,1.6595e-05,0,-1.7279e-05,1002.4,9744.4,1.1479e-10,0.23551,0.0046166,0.24013,,0.059995,0,0.060018
852,-2.0961e-05,0,6.6039e-05,1002.6,10340,9.6009e-10,1.3308e-05,0.0051901,0.0052034,,0.079997,0,3.3914e-06
853,-1.5859e-05,0,3.0879e-05,1002.5,10142,2.41e-10,0.078496,0.0049956,0.083492,,0.079995,0,0.020004
854,-1.2951e-05,0,3.6382e-05,1002.5,9942.7,2.9828e-10,0.15698,0.0048038,0.16178,,0.079996,0,0.040005
855,-1.2165e-05,0,8.8263e-05,1002.4,9744.1,1.5877e-09,0.23547,0.0046164,0.24008,,0.079993,0,0.060007
903,2.9072e-05,0,-5.7372e-06,1002.6,10341,1.7562e-10,2.3741e-05,0.0051906,0.0052143,,0.099995,0,6.0501e-06
904,-1.4525e-05,0,-4.3464e-05,1002.5,10142,4.2002e-10,0.078512,0.0049953,0.083507,,0.099995,0,0.020008
905,2.0524e-05,0,-5.4965e-05,1002.5,9942.7,6.8847e-10,0.15701,0.0048038,0.16181,,0.099995,0,0.040012
906,-7.1172e-06,0,-4.603e-05,1002.4,9743.9,4.3389e-10,0.23549,0.0046161,0.24011,,0.09999,0,0.060012
954,7.6866e-06,0,8.2707e-06,1002.6,10340,2.5498e-11,2.9701e-05,0.0051901,0.0052198,,0.11999,0,7.569e-06
955,6.1731e-06,0,4.1296e-05,1002.5,10142,3.4869e-10,0.078518,0.0049951,0.083513,,0.11999,0,0.02001
956,7.6413e-06,0,4.3679e-05,1002.5,9943,3.9325e-10,0.15702,0.004804,0.16182,,0.11999,0,0.040015
957,2.546e-06,0,2.3782e-05,1002.4,9744.1,1.1442e-10,0.23551,0.0046164,0.24012,,0.11999,0,0.060017
1005,-8.3463e-06,0,-1.9896e-06,1002.6,10341,1.4724e-11,1.3958e-05,0.0051908,0.0052048,,0.13999,0,3.557e-06
1006,-4.9626e-05,0,-2.1062e-05,1002.5,10142,5.8128e-10,0.078488,0.0049951,0.083483,,0.13999,0,0.020002
1007,-2.4476e-05,0,2.6046e-05,1002.5,9943,2.555e-10,0.15698,0.004804,0.16178,,0.13999,0,0.040004
1008,1.0716e-05,0,-3.0395e-06,1002.4,9744.1,2.4814e-11,0.23546,0.0046164,0.24007,,0.13999,0,0.060005
1056,1.1356e-05,0,1.7449e-05,1002.6,10341,8.6688e-11,2.279e-05,0.0051903,0.0052131,,0.15999,0,5.8079e-06
1057,2.4621e-05,0,-1.557e-05,1002.5,10142,1.6972e-10,0.078511,0.0049951,0.083506,,0.15999,0,0.020008
1058,-5.257e-06,0,-2.8281e-06,1002.5,9942.7,7.1268e-12,0.157,0.0048038,0.16181,,0.15999,0,0.040011
1059,-3.208e-05,0,-6.5062e-05,1002.4,9743.9,1.0524e-09,0.23549,0.0046161,0.24011,,0.15999,0,0.060013
1107,-1.3096e-05,0,2.9567e-05,1002.6,10340,2.0914e-10,1.8894e-05,0.0051901,0.005209,,0.17999,0,4.8151e-06
1108,1.4435e-05,0,1.5933e-05,1002.5,10142,9.2444e-11,0.078501,0.0049953,0.083496,,0.17999,0,0.020005
