#Time;LinearAccX;LinearAccY;LinearAccZ
0.00;0;0.0;0
0.01;-0.033088186146690506;0.0;5.5801792880449952E-05
0.02;-0.066098718483074526;0.0;0.00022268553384029
0.03;-0.098954132433506745;0.0;0.00049909120375677849
0.04;-0.13157734128427209;0.0;0.00088243503725906952
0.05;-0.16389182360097523;0.0;0.00136913375996499
0.06;-0.1958218088432869;0.0;0.0019546381972037953
0.07;-0.22729246059865715;0.0;0.0026334759347856054
0.08;-0.25823005687538042;0.0;0.0033993026265145831
0.09;-0.2885621669182491;0.0;0.0042449614614865714
0.10;-0.31821782403656912;0.0;0.0051625502272889161
0.11;-0.34712769396407883;0.0;0.0061434953339312781
0.12;-0.3752242383028172;0.0;0.0071786320983043706
0.13;-0.40244187263766856;0.0;0.008258290530816028
0.14;-0.42871711894462705;0.0;0.0093723858150886741
0.15;-0.45398875195315036;0.0;0.010510512628730843
0.16;-0.47819793916075382;0.0;0.011662042418500143
0.17;-0.50128837423561523;0.0;0.012816222717050121
0.18;-0.52320640357987414;0.0;0.013962277570945699
0.19;-0.54390114586196658;0.0;0.01508950814097338
0.20;-0.563324604360254;0.0;0.01618739253592039
0.21;-0.58143177199192408;0.0;0.017245683949875662
0.22;-0.59818072893029783;0.0;0.018254506190614295
0.23;-0.61353273273993081;0.0;0.019204445712459103
0.24;-0.62745230098201743;0.0;0.020086639301020916
0.25;-0.63990728626242332;0.0;0.020892856598807744
0.26;-0.65086894371108084;0.0;0.021615576709687223
0.27;-0.66031199089449744;0.0;0.022248058175925265
0.28;-0.66821466017280085;0.0;0.02278440168348209
0.29;-0.67455874351921874;0.0;0.023219604919002653
0.30;-0.67932962982341749;0.0;0.023549609074596446
0.31;-0.68251633470094575;0.0;0.02377133657370557
0.32;-0.68411152282952936;0.0;0.023882719672124426
0.33;-0.68411152282952936;0.0;0.023882719672124426
0.34;-0.68251633470094564;0.0;0.02377133657370557
0.35;-0.67932962982341749;0.0;0.023549609074596446
0.36;-0.67455874351921874;0.0;0.023219604919002653
0.37;-0.66821466017280085;0.0;0.02278440168348209
0.38;-0.66031199089449744;0.0;0.022248058175925265
0.39;-0.65086894371108051;0.0;0.021615576709687223
0.40;-0.6399072862624231;0.0;0.020892856598806655
0.41;-0.62745230098201732;0.0;0.020086639301020916
0.42;-0.61353273273993059;0.0;0.019204445712459103
0.43;-0.59818072893029761;0.0;0.018254506190614295
0.44;-0.58143177199192386;0.0;0.017245683949875662
0.45;-0.56332460436025378;0.0;0.01618739253592039
0.46;-0.54390114586196625;0.0;0.01508950814097338
0.47;-0.52320640357987369;0.0;0.013962277570945699
0.48;-0.5012883742356149;0.0;0.012816222717050121
0.49;-0.47819793916075348;0.0;0.011662042418500143
0.50;-0.45398875195315014;0.0;0.010510512628730843
0.51;-0.42871711894462683;0.0;0.0093723858150886741
0.52;-0.40244187263766823;0.0;0.008258290530816028
0.53;-0.37522423830281681;0.0;0.0071786320983043706
0.54;-0.34712769396407839;0.0;0.0061434953339312781
0.55;-0.31821782403656873;0.0;0.0051625502272889161
0.56;-0.28856216691824865;0.0;0.0042449614614865714
0.57;-0.25823005687537981;0.0;0.0033993026265145831
0.58;-0.22729246059865638;0.0;0.0026334759347856054
0.59;-0.19582180884328637;0.0;0.0019546381972037953
0.60;-0.1638918236009746;0.0;0.00136913375996499
0.61;-0.13157734128427137;0.0;0.00088243503725906952
0.62;-0.098954132433505912;0.0;0.00049909120375677849
0.63;-0.066098718483073582;0.0;0.00022268553384029
0.64;-0.03308818614668977;0.0;5.5801792880449952E-05
0.65;8.285571268004289E-16;0.0;0
0.66;0.033088186146691428;0.0;5.5801792880449952E-05
0.67;0.066098718483075553;0.0;0.00022268553384029
0.68;0.098954132433507563;0.0;0.00049909120375677849
0.69;0.13157734128427298;0.0;0.00088243503725906952
0.70;0.16389182360097618;0.0;0.00136913375996499
0.71;0.19582180884328795;0.0;0.0019546381972037953
0.72;0.22729246059865826;0.0;0.0026334759347856054
0.73;0.25823005687538136;0.0;0.0033993026265145831
0.74;0.2885621669182501;0.0;0.0042449614614865714
0.75;0.31821782403657012;0.0;0.0051625502272889161
0.76;0.34712769396408005;0.0;0.0061434953339312781
0.77;0.3752242383028182;0.0;0.0071786320983043706
0.78;0.40244187263766962;0.0;0.008258290530816028
0.79;0.42871711894462816;0.0;0.0093723858150886741
0.80;0.45398875195315136;0.0;0.010510512628730843
0.81;0.47819793916075459;0.0;0.011662042418500143
0.82;0.50128837423561612;0.0;0.012816222717050121
0.83;0.52320640357987513;0.0;0.013962277570945699
0.84;0.54390114586196725;0.0;0.01508950814097338
0.85;0.56332460436025467;0.0;0.01618739253592039
