"Idp","Vel:0","Vel:1","Vel:2","Rhop","Press","Vor:0","Vor:1","Vor:2","Type","Points:0","Points:1","Points:2"
159,0,0,0,1000,0,0,0,0,0,0.08,0,0.28
160,0,0,0,1000,0,0,0,0,0,0.08,0,0.32
9,0,0,0,1000,0,0,0,0,0,0,0,0.36
10,0,0,0,1000,0,0,0,0,0,0,0,0.4
11,0,0,0,1000,0,0,0,0,0,0,0,0.44
85,0,0,0,1000,0,0,0,0,0,0.04,0,0.36
86,0,0,0,1000,0,0,0,0,0,0.04,0,0.4
87,0,0,0,1000,0,0,0,0,0,0.04,0,0.44
161,0,0,0,1000,0,0,0,0,0,0.08,0,0.36
162,0,0,0,1000,0,0,0,0,0,0.08,0,0.4
163,0,0,0,1000,0,0,0,0,0,0.08,0,0.44
12,0,0,0,1000,0,0,0,0,0,0,0,0.48
13,0,0,0,1000,0,0,0,0,0,0,0,0.52
14,0,0,0,1000,0,0,0,0,0,0,0,0.56
88,0,0,0,1000,0,0,0,0,0,0.04,0,0.48
89,0,0,0,1000,0,0,0,0,0,0.04,0,0.52
90,0,0,0,1000,0,0,0,0,0,0.04,0,0.56
164,0,0,0,1000,0,0,0,0,0,0.08,0,0.48
165,0,0,0,1000,0,0,0,0,0,0.08,0,0.52
166,0,0,0,1000,0,0,0,0,0,0.08,0,0.56
15,0,0,0,1000,0,0,0,0,0,0,0,0.6
16,0,0,0,1000,0,0,0,0,0,0,0,0.64
91,0,0,0,1000,0,0,0,0,0,0.04,0,0.6
92,0,0,0,1000,0,0,0,0,0,0.04,0,0.64
167,0,0,0,1000,0,0,0,0,0,0.08,0,0.6
168,0,0,0,1000,0,0,0,0,0,0.08,0,0.64
17,0,0,0,1000,0,0,0,0,0,0,0,0.68
18,0,0,0,1000,0,0,0,0,0,0,0,0.72
19,0,0,0,1000,0,0,0,0,0,0,0,0.76
93,0,0,0,1000,0,0,0,0,0,0.04,0,0.68
94,0,0,0,1000,0,0,0,0,0,0.04,0,0.72
95,0,0,0,1000,0,0,0,0,0,0.04,0,0.76
169,0,0,0,1000,0,0,0,0,0,0.08,0,0.68
170,0,0,0,1000,0,0,0,0,0,0.08,0,0.72
171,0,0,0,1000,0,0,0,0,0,0.08,0,0.76
20,0,0,0,1000,0,0,0,0,0,0,0,0.8
21,0,0,0,1000,0,0,0,0,0,0,0,0.84
22,0,0,0,1000,0,0,0,0,0,0,0,0.88
96,0,0,0,1000,0,0,0,0,0,0.04,0,0.8
97,0,0,0,1000,0,0,0,0,0,0.04,0,0.84
98,0,0,0,1000,0,0,0,0,0,0.04,0,0.88
172,0,0,0,1000,0,0,0,0,0,0.08,0,0.8
173,0,0,0,1000,0,0,0,0,0,0.08,0,0.84
