"Idp","Vel:0","Vel:1","Vel:2","Rhop","Mass","Press","Type","Mk","Points:0","Points:1","Points:2"
473,0,0,0,1000,0.4,0,0,10,4,0,2.46
474,0,0,0,1000,0.4,0,0,10,4,0,2.48
475,0,0,0,1000,0.4,0,0,10,4,0,2.5
476,0,0,0,1000,0.4,0,0,10,4,0,2.52
477,0,0,0,1000,0.4,0,0,10,4,0,2.54
478,0,0,0,1000,0.4,0,0,10,4,0,2.56
479,0,0,0,1000,0.4,0,0,10,4,0,2.58
480,0,0,0,1000,0.4,0,0,10,4,0,2.6
481,0,0,0,1000,0.4,0,0,10,4,0,2.62
482,0,0,0,1000,0.4,0,0,10,4,0,2.64
483,0,0,0,1000,0.4,0,0,10,4,0,2.66
484,0,0,0,1000,0.4,0,0,10,4,0,2.68
485,0,0,0,1000,0.4,0,0,10,4,0,2.7
486,0,0,0,1000,0.4,0,0,10,4,0,2.72
487,0,0,0,1000,0.4,0,0,10,4,0,2.74
488,0,0,0,1000,0.4,0,0,10,4,0,2.76
489,0,0,0,1000,0.4,0,0,10,4,0,2.78
490,0,0,0,1000,0.4,0,0,10,4,0,2.8
491,0,0,0,1000,0.4,0,0,10,4,0,2.82
492,0,0,0,1000,0.4,0,0,10,4,0,2.84
493,0,0,0,1000,0.4,0,0,10,4,0,2.86
494,0,0,0,1000,0.4,0,0,10,4,0,2.88
495,0,0,0,1000,0.4,0,0,10,4,0,2.9
496,0,0,0,1000,0.4,0,0,10,4,0,2.92
497,0,0,0,1000,0.4,0,0,10,4,0,2.94
498,0,0,0,1000,0.4,0,0,10,4,0,2.96
499,0,0,0,1000,0.4,0,0,10,4,0,2.98
500,0,0,0,1000,0.4,0,0,10,4,0,3
