"Idp","Vel:0","Vel:1","Vel:2","Rhop","Press","Type","Points:0","Points:1","Points:2"
228,0,0,0,1000,0,0,0.78,0,-0.04
229,0,0,0,1000,0,0,0.78,0,-0.02
230,0,0,0,1000,0,0,0.78,0,0
231,0,0,0,1000,0,0,0.8,0,-0.04
232,0,0,0,1000,0,0,0.8,0,-0.02
233,0,0,0,1000,0,0,0.8,0,0
234,0,0,0,1000,0,0,0.82,0,-0.04
235,0,0,0,1000,0,0,0.82,0,-0.02
236,0,0,0,1000,0,0,0.82,0,0
237,0,0,0,1000,0,0,0.84,0,-0.04
238,0,0,0,1000,0,0,0.84,0,-0.02
239,0,0,0,1000,0,0,0.84,0,0
240,0,0,0,1000,0,0,0.86,0,-0.04
241,0,0,0,1000,0,0,0.86,0,-0.02
242,0,0,0,1000,0,0,0.86,0,0
243,0,0,0,1000,0,0,0.86,0,0.02
244,0,0,0,1000,0,0,0.88,0,-0.02
245,0,0,0,1000,0,0,0.88,0,0
246,0,0,0,1000,0,0,0.88,0,0.02
248,0,0,0,1000,0,0,0.9,0,0
249,0,0,0,1000,0,0,0.9,0,0.02
252,0,0,0,1000,0,0,0.92,0,0.02
324,0,0,0,1000,0,0,1.28,0,0.02
328,0,0,0,1000,0,0,1.3,0,0
329,0,0,0,1000,0,0,1.3,0,0.02
332,0,0,0,1000,0,0,1.32,0,-0.02
333,0,0,0,1000,0,0,1.32,0,0
334,0,0,0,1000,0,0,1.32,0,0.02
336,0,0,0,1000,0,0,1.34,0,-0.04
337,0,0,0,1000,0,0,1.34,0,-0.02
338,0,0,0,1000,0,0,1.34,0,0
339,0,0,0,1000,0,0,1.34,0,0.02
340,0,0,0,1000,0,0,1.36,0,-0.04
341,0,0,0,1000,0,0,1.36,0,-0.02
342,0,0,0,1000,0,0,1.36,0,0
343,0,0,0,1000,0,0,1.38,0,-0.04
344,0,0,0,1000,0,0,1.38,0,-0.02
345,0,0,0,1000,0,0,1.38,0,0
346,0,0,0,1000,0,0,1.4,0,-0.04
347,0,0,0,1000,0,0,1.4,0,-0.02
348,0,0,0,1000,0,0,1.4,0,0
349,0,0,0,1000,0,0,1.42,0,-0.04
350,0,0,0,1000,0,0,1.42,0,-0.02
351,0,0,0,1000,0,0,1.42,0,0
352,0,0,0,1000,0,0,1.44,0,-0.04
353,0,0,0,1000,0,0,1.44,0,-0.02
354,0,0,0,1000,0,0,1.44,0,0
355,0,0,0,1000,0,0,1.46,0,-0.04
356,0,0,0,1000,0,0,1.46,0,-0.02
357,0,0,0,1000,0,0,1.46,0,0
358,0,0,0,1000,0,0,1.48,0,-0.04
359,0,0,0,1000,0,0,1.48,0,-0.02
360,0,0,0,1000,0,0,1.48,0,0
361,0,0,0,1000,0,0,1.5,0,-0.04
362,0,0,0,1000,0,0,1.5,0,-0.02
363,0,0,0,1000,0,0,1.5,0,0
364,0,0,0,1000,0,0,1.52,0,-0.04
365,0,0,0,1000,0,0,1.52,0,-0.02
366,0,0,0,1000,0,0,1.52,0,0
367,0,0,0,1000,0,0,1.54,0,-0.04
368,0,0,0,1000,0,0,1.54,0,-0.02
369,0,0,0,1000,0,0,1.54,0,0
370,0,0,0,1000,0,0,1.56,0,-0.04
371,0,0,0,1000,0,0,1.56,0,-0.02
372,0,0,0,1000,0,0,1.56,0,0
373,0,0,0,1000,0,0,1.58,0,-0.04
374,0,0,0,1000,0,0,1.58,0,-0.02
375,0,0,0,1000,0,0,1.58,0,0
376,0,0,0,1000,0,0,1.6,0,-0.04
377,0,0,0,1000,0,0,1.6,0,-0.02
378,0,0,0,1000,0,0,1.6,0,0
379,0,0,0,1000,0,0,1.62,0,-0.04
380,0,0,0,1000,0,0,1.62,0,-0.02
381,0,0,0,1000,0,0,1.62,0,0
382,0,0,0,1000,0,0,1.64,0,-0.04
383,0,0,0,1000,0,0,1.64,0,-0.02
384,0,0,0,1000,0,0,1.64,0,0
385,0,0,0,1000,0,0,1.66,0,-0.04
386,0,0,0,1000,0,0,1.66,0,-0.02
387,0,0,0,1000,0,0,1.66,0,0
388,0,0,0,1000,0,0,1.68,0,-0.04
389,0,0,0,1000,0,0,1.68,0,-0.02
390,0,0,0,1000,0,0,1.68,0,0
391,0,0,0,1000,0,0,1.7,0,-0.04
392,0,0,0,1000,0,0,1.7,0,-0.02
393,0,0,0,1000,0,0,1.7,0,0
394,0,0,0,1000,0,0,1.72,0,-0.04
395,0,0,0,1000,0,0,1.72,0,-0.02
396,0,0,0,1000,0,0,1.72,0,0
397,0,0,0,1000,0,0,1.74,0,-0.04
398,0,0,0,1000,0,0,1.74,0,-0.02
399,0,0,0,1000,0,0,1.74,0,0
400,0,0,0,1000,0,0,1.76,0,-0.04
401,0,0,0,1000,0,0,1.76,0,-0.02
402,0,0,0,1000,0,0,1.76,0,0
403,0,0,0,1000,0,0,1.78,0,-0.04
404,0,0,0,1000,0,0,1.78,0,-0.02
405,0,0,0,1000,0,0,1.78,0,0
406,0,0,0,1000,0,0,1.8,0,-0.04
407,0,0,0,1000,0,0,1.8,0,-0.02
408,0,0,0,1000,0,0,1.8,0,0
409,0,0,0,1000,0,0,1.82,0,-0.04
410,0,0,0,1000,0,0,1.82,0,-0.02
411,0,0,0,1000,0,0,1.82,0,0
412,0,0,0,1000,0,0,1.84,0,-0.04
413,0,0,0,1000,0,0,1.84,0,-0.02
414,0,0,0,1000,0,0,1.84,0,0
415,0,0,0,1000,0,0,1.86,0,-0.04
416,0,0,0,1000,0,0,1.86,0,-0.02
417,0,0,0,1000,0,0,1.86,0,0
418,0,0,0,1000,0,0,1.88,0,-0.04
419,0,0,0,1000,0,0,1.88,0,-0.02
420,0,0,0,1000,0,0,1.88,0,0
421,0,0,0,1000,0,0,1.9,0,-0.04
422,0,0,0,1000,0,0,1.9,0,-0.02
423,0,0,0,1000,0,0,1.9,0,0
424,0,0,0,1000,0,0,1.92,0,-0.04
425,0,0,0,1000,0,0,1.92,0,-0.02
426,0,0,0,1000,0,0,1.92,0,0
427,0,0,0,1000,0,0,1.94,0,-0.04
428,0,0,0,1000,0,0,1.94,0,-0.02
429,0,0,0,1000,0,0,1.94,0,0
430,0,0,0,1000,0,0,1.96,0,-0.04
431,0,0,0,1000,0,0,1.96,0,-0.02
432,0,0,0,1000,0,0,1.96,0,0
433,0,0,0,1000,0,0,1.98,0,-0.04
434,0,0,0,1000,0,0,1.98,0,-0.02
435,0,0,0,1000,0,0,1.98,0,0
436,0,0,0,1000,0,0,2,0,-0.04
437,0,0,0,1000,0,0,2,0,-0.02
438,0,0,0,1000,0,0,2,0,0
439,0,0,0,1000,0,0,2.02,0,-0.04
440,0,0,0,1000,0,0,2.02,0,-0.02
441,0,0,0,1000,0,0,2.02,0,0
442,0,0,0,1000,0,0,2.04,0,-0.04
443,0,0,0,1000,0,0,2.04,0,-0.02
444,0,0,0,1000,0,0,2.04,0,0
445,0,0,0,1000,0,0,2.06,0,-0.04
446,0,0,0,1000,0,0,2.06,0,-0.02
447,0,0,0,1000,0,0,2.06,0,0
448,0,0,0,1000,0,0,2.08,0,-0.04
449,0,0,0,1000,0,0,2.08,0,-0.02
450,0,0,0,1000,0,0,2.08,0,0
451,0,0,0,1000,0,0,2.1,0,-0.04
452,0,0,0,1000,0,0,2.1,0,-0.02
453,0,0,0,1000,0,0,2.1,0,0
454,0,0,0,1000,0,0,2.12,0,-0.04
455,0,0,0,1000,0,0,2.12,0,-0.02
456,0,0,0,1000,0,0,2.12,0,0
457,0,0,0,1000,0,0,2.14,0,-0.04
458,0,0,0,1000,0,0,2.14,0,-0.02
459,0,0,0,1000,0,0,2.14,0,0
460,0,0,0,1000,0,0,2.16,0,-0.04
461,0,0,0,1000,0,0,2.16,0,-0.02
462,0,0,0,1000,0,0,2.16,0,0
463,0,0,0,1000,0,0,2.18,0,-0.04
464,0,0,0,1000,0,0,2.18,0,-0.02
465,0,0,0,1000,0,0,2.18,0,0
466,0,0,0,1000,0,0,2.2,0,-0.04
467,0,0,0,1000,0,0,2.2,0,-0.02
468,0,0,0,1000,0,0,2.2,0,0
469,0,0,0,1000,0,0,2.2,0,0.02
504,0,0,0,1000,0,0,2.22,0,-0.04
505,0,0,0,1000,0,0,2.22,0,-0.02
506,0,0,0,1000,0,0,2.22,0,0
507,0,0,0,1000,0,0,2.22,0,0.02
542,0,0,0,1000,0,0,2.24,0,-0.04
543,0,0,0,1000,0,0,2.24,0,-0.02
544,0,0,0,1000,0,0,2.24,0,0
545,0,0,0,1000,0,0,2.24,0,0.02
4,0,0,0,1000,0,0,-0.04,0,0.04
5,0,0,0,1000,0,0,-0.04,0,0.06
6,0,0,0,1000,0,0,-0.04,0,0.08
7,0,0,0,1000,0,0,-0.04,0,0.1
42,0,0,0,1000,0,0,-0.02,0,0.04
43,0,0,0,1000,0,0,-0.02,0,0.06
44,0,0,0,1000,0,0,-0.02,0,0.08
45,0,0,0,1000,0,0,-0.02,0,0.1
80,0,0,0,1000,0,0,0,0,0.04
81,0,0,0,1000,0,0,0,0,0.06
82,0,0,0,1000,0,0,0,0,0.08
83,0,0,0,1000,0,0,0,0,0.1
247,0,0,0,1000,0,0,0.88,0,0.04
250,0,0,0,1000,0,0,0.9,0,0.04
251,0,0,0,1000,0,0,0.9,0,0.06
253,0,0,0,1000,0,0,0.92,0,0.04
254,0,0,0,1000,0,0,0.92,0,0.06
255,0,0,0,1000,0,0,0.92,0,0.08
256,0,0,0,1000,0,0,0.94,0,0.04
257,0,0,0,1000,0,0,0.94,0,0.06
258,0,0,0,1000,0,0,0.94,0,0.08
259,0,0,0,1000,0,0,0.94,0,0.1
260,0,0,0,1000,0,0,0.96,0,0.06
261,0,0,0,1000,0,0,0.96,0,0.08
262,0,0,0,1000,0,0,0.96,0,0.1
264,0,0,0,1000,0,0,0.98,0,0.08
265,0,0,0,1000,0,0,0.98,0,0.1
268,0,0,0,1000,0,0,1,0,0.1
308,0,0,0,1000,0,0,1.2,0,0.1
312,0,0,0,1000,0,0,1.22,0,0.08
313,0,0,0,1000,0,0,1.22,0,0.1
316,0,0,0,1000,0,0,1.24,0,0.06
317,0,0,0,1000,0,0,1.24,0,0.08
318,0,0,0,1000,0,0,1.24,0,0.1
320,0,0,0,1000,0,0,1.26,0,0.04
321,0,0,0,1000,0,0,1.26,0,0.06
322,0,0,0,1000,0,0,1.26,0,0.08
323,0,0,0,1000,0,0,1.26,0,0.1
325,0,0,0,1000,0,0,1.28,0,0.04
326,0,0,0,1000,0,0,1.28,0,0.06
327,0,0,0,1000,0,0,1.28,0,0.08
330,0,0,0,1000,0,0,1.3,0,0.04
331,0,0,0,1000,0,0,1.3,0,0.06
335,0,0,0,1000,0,0,1.32,0,0.04
470,0,0,0,1000,0,0,2.2,0,0.04
471,0,0,0,1000,0,0,2.2,0,0.06
472,0,0,0,1000,0,0,2.2,0,0.08
473,0,0,0,1000,0,0,2.2,0,0.1
508,0,0,0,1000,0,0,2.22,0,0.04
509,0,0,0,1000,0,0,2.22,0,0.06
510,0,0,0,1000,0,0,2.22,0,0.08
511,0,0,0,1000,0,0,2.22,0,0.1
546,0,0,0,1000,0,0,2.24,0,0.04
547,0,0,0,1000,0,0,2.24,0,0.06
548,0,0,0,1000,0,0,2.24,0,0.08
549,0,0,0,1000,0,0,2.24,0,0.1
8,0,0,0,1000,0,0,-0.04,0,0.12
9,0,0,0,1000,0,0,-0.04,0,0.14
10,0,0,0,1000,0,0,-0.04,0,0.16
11,0,0,0,1000,0,0,-0.04,0,0.18
46,0,0,0,1000,0,0,-0.02,0,0.12
47,0,0,0,1000,0,0,-0.02,0,0.14
48,0,0,0,1000,0,0,-0.02,0,0.16
49,0,0,0,1000,0,0,-0.02,0,0.18
84,0,0,0,1000,0,0,0,0,0.12
85,0,0,0,1000,0,0,0,0,0.14
86,0,0,0,1000,0,0,0,0,0.16
87,0,0,0,1000,0,0,0,0,0.18
263,0,0,0,1000,0,0,0.96,0,0.12
266,0,0,0,1000,0,0,0.98,0,0.12
267,0,0,0,1000,0,0,0.98,0,0.14
