"Idp","Vel:0","Vel:1","Vel:2","Rhop","Press","Type","Points:0","Points:1","Points:2"
72,0,0,0,1000,0,0,-0.02,0,0.64
73,0,0,0,1000,0,0,-0.02,0,0.66
74,0,0,0,1000,0,0,-0.02,0,0.68
75,0,0,0,1000,0,0,-0.02,0,0.7
108,0,0,0,1000,0,0,0,0,0.6
109,0,0,0,1000,0,0,0,0,0.62
110,0,0,0,1000,0,0,0,0,0.64
111,0,0,0,1000,0,0,0,0,0.66
112,0,0,0,1000,0,0,0,0,0.68
113,0,0,0,1000,0,0,0,0,0.7
498,0,0,0,1000,0,0,2.2,0,0.6
499,0,0,0,1000,0,0,2.2,0,0.62
500,0,0,0,1000,0,0,2.2,0,0.64
501,0,0,0,1000,0,0,2.2,0,0.66
502,0,0,0,1000,0,0,2.2,0,0.68
503,0,0,0,1000,0,0,2.2,0,0.7
536,0,0,0,1000,0,0,2.22,0,0.6
537,0,0,0,1000,0,0,2.22,0,0.62
538,0,0,0,1000,0,0,2.22,0,0.64
539,0,0,0,1000,0,0,2.22,0,0.66
540,0,0,0,1000,0,0,2.22,0,0.68
541,0,0,0,1000,0,0,2.22,0,0.7
574,0,0,0,1000,0,0,2.24,0,0.6
575,0,0,0,1000,0,0,2.24,0,0.62
576,0,0,0,1000,0,0,2.24,0,0.64
577,0,0,0,1000,0,0,2.24,0,0.66
578,0,0,0,1000,0,0,2.24,0,0.68
579,0,0,0,1000,0,0,2.24,0,0.7
