"Idp","Vel:0","Vel:1","Vel:2","Rhop","Press","Vor:0","Vor:1","Vor:2","Type","Points:0","Points:1","Points:2"
1080,0,0,0,1002.3,17266,0,0,0,3,0.4,0,0.24
1081,0,0,0,1002.3,16873,0,0,0,3,0.4,0,0.28
1082,0,0,0,1002.2,16481,0,0,0,3,0.4,0,0.32
1128,0,0,0,1002.3,17266,0,0,0,3,0.44,0,0.24
1129,0,0,0,1002.3,16873,0,0,0,3,0.44,0,0.28
1130,0,0,0,1002.2,16481,0,0,0,3,0.44,0,0.32
1176,0,0,0,1002.3,17266,0,0,0,3,0.48,0,0.24
1177,0,0,0,1002.3,16873,0,0,0,3,0.48,0,0.28
1178,0,0,0,1002.2,16481,0,0,0,3,0.48,0,0.32
1224,0,0,0,1002.3,17266,0,0,0,3,0.52,0,0.24
1225,0,0,0,1002.3,16873,0,0,0,3,0.52,0,0.28
1226,0,0,0,1002.2,16481,0,0,0,3,0.52,0,0.32
1272,0,0,0,1002.3,17266,0,0,0,3,0.56,0,0.24
1273,0,0,0,1002.3,16873,0,0,0,3,0.56,0,0.28
1274,0,0,0,1002.2,16481,0,0,0,3,0.56,0,0.32
1320,0,0,0,1002.3,17266,0,0,0,3,0.6,0,0.24
1321,0,0,0,1002.3,16873,0,0,0,3,0.6,0,0.28
1322,0,0,0,1002.2,16481,0,0,0,3,0.6,0,0.32
1368,0,0,0,1002.3,17266,0,0,0,3,0.64,0,0.24
1369,0,0,0,1002.3,16873,0,0,0,3,0.64,0,0.28
1370,0,0,0,1002.2,16481,0,0,0,3,0.64,0,0.32
1416,0,0,0,1002.3,17266,0,0,0,3,0.68,0,0.24
1417,0,0,0,1002.3,16873,0,0,0,3,0.68,0,0.28
1418,0,0,0,1002.2,16481,0,0,0,3,0.68,0,0.32
1464,0,0,0,1002.3,17266,0,0,0,3,0.72,0,0.24
1465,0,0,0,1002.3,16873,0,0,0,3,0.72,0,0.28
1466,0,0,0,1002.2,16481,0,0,0,3,0.72,0,0.32
1512,0,0,0,1002.3,17266,0,0,0,3,0.76,0,0.24
1513,0,0,0,1002.3,16873,0,0,0,3,0.76,0,0.28
1514,0,0,0,1002.2,16481,0,0,0,3,0.76,0,0.32
1560,0,0,0,1002.3,17266,0,0,0,3,0.8,0,0.24
1561,0,0,0,1002.3,16873,0,0,0,3,0.8,0,0.28
1562,0,0,0,1002.2,16481,0,0,0,3,0.8,0,0.32
1608,0,0,0,1002.3,17266,0,0,0,3,0.84,0,0.24
1609,0,0,0,1002.3,16873,0,0,0,3,0.84,0,0.28
1610,0,0,0,1002.2,16481,0,0,0,3,0.84,0,0.32
1656,0,0,0,1002.3,17266,0,0,0,3,0.88,0,0.24
1657,0,0,0,1002.3,16873,0,0,0,3,0.88,0,0.28
1658,0,0,0,1002.2,16481,0,0,0,3,0.88,0,0.32
1704,0,0,0,1002.3,17266,0,0,0,3,0.92,0,0.24
1705,0,0,0,1002.3,16873,0,0,0,3,0.92,0,0.28
1706,0,0,0,1002.2,16481,0,0,0,3,0.92,0,0.32
1752,0,0,0,1002.3,17266,0,0,0,3,0.96,0,0.24
1753,0,0,0,1002.3,16873,0,0,0,3,0.96,0,0.28
1754,0,0,0,1002.2,16481,0,0,0,3,0.96,0,0.32
1800,0,0,0,1002.3,17266,0,0,0,3,1,0,0.24
1801,0,0,0,1002.3,16873,0,0,0,3,1,0,0.28
1802,0,0,0,1002.2,16481,0,0,0,3,1,0,0.32
747,0,0,0,1002.2,16088,0,0,0,3,0.12,0,0.36
748,0,0,0,1002.1,15696,0,0,0,3,0.12,0,0.4
749,0,0,0,1002.1,15303,0,0,0,3,0.12,0,0.44
795,0,0,0,1002.2,16088,0,0,0,3,0.16,0,0.36
796,0,0,0,1002.1,15696,0,0,0,3,0.16,0,0.4
797,0,0,0,1002.1,15303,0,0,0,3,0.16,0,0.44
843,0,0,0,1002.2,16088,0,0,0,3,0.2,0,0.36
844,0,0,0,1002.1,15696,0,0,0,3,0.2,0,0.4
845,0,0,0,1002.1,15303,0,0,0,3,0.2,0,0.44
891,0,0,0,1002.2,16088,0,0,0,3,0.24,0,0.36
892,0,0,0,1002.1,15696,0,0,0,3,0.24,0,0.4
893,0,0,0,1002.1,15303,0,0,0,3,0.24,0,0.44
939,0,0,0,1002.2,16088,0,0,0,3,0.28,0,0.36
940,0,0,0,1002.1,15696,0,0,0,3,0.28,0,0.4
941,0,0,0,1002.1,15303,0,0,0,3,0.28,0,0.44
987,0,0,0,1002.2,16088,0,0,0,3,0.32,0,0.36
988,0,0,0,1002.1,15696,0,0,0,3,0.32,0,0.4
989,0,0,0,1002.1,15303,0,0,0,3,0.32,0,0.44
1035,0,0,0,1002.2,16088,0,0,0,3,0.36,0,0.36
1036,0,0,0,1002.1,15696,0,0,0,3,0.36,0,0.4
1037,0,0,0,1002.1,15303,0,0,0,3,0.36,0,0.44
1083,0,0,0,1002.2,16088,0,0,0,3,0.4,0,0.36
