"Idp","Vel:0","Vel:1","Vel:2","Rhop","Mass","Press","Vol","Ace:0","Ace:1","Ace:2","Vor:0","Vor:1","Vor:2","Type","Mk","Points:0","Points:1","Points:2"
2865,0,0,0,1002.4,0.4,18639,0.00039903,0,0,-0.17247,0,0,0,3,1,0.34,0,0.1
2961,0,0,0,1002.5,0.4,19031,0.00039901,-0.0010837,0,-416.37,0,0,0,3,1,0.36,0,0.06
2962,0,0,0,1002.5,0.4,18835,0.00039902,-0.0012064,0,-57.979,0,0,0,3,1,0.36,0,0.08
2963,0,0,0,1002.4,0.4,18639,0.00039903,-0.0012053,0,-0.17246,0,0,0,3,1,0.36,0,0.1
3059,0,0,0,1002.5,0.4,19031,0.00039901,0.00055788,0,-416.37,0,0,0,3,1,0.38,0,0.06
3060,0,0,0,1002.5,0.4,18835,0.00039902,0.0006134,0,-57.979,0,0,0,3,1,0.38,0,0.08
3061,0,0,0,1002.4,0.4,18639,0.00039903,0.00061843,0,-0.17246,0,0,0,3,1,0.38,0,0.1
3157,0,0,0,1002.5,0.4,19031,0.00039901,-0.00055788,0,-416.37,0,0,0,3,1,0.4,0,0.06
3158,0,0,0,1002.5,0.4,18835,0.00039902,-0.0006134,0,-57.979,0,0,0,3,1,0.4,0,0.08
3159,0,0,0,1002.4,0.4,18639,0.00039903,-0.00061843,0,-0.17246,0,0,0,3,1,0.4,0,0.1
3255,0,0,0,1002.5,0.4,19031,0.00039901,0.0010837,0,-416.37,0,0,0,3,1,0.42,0,0.06
3256,0,0,0,1002.5,0.4,18835,0.00039902,0.0012064,0,-57.979,0,0,0,3,1,0.42,0,0.08
3257,0,0,0,1002.4,0.4,18639,0.00039903,0.0012053,0,-0.17246,0,0,0,3,1,0.42,0,0.1
3353,0,0,0,1002.5,0.4,19031,0.00039901,0,0,-416.37,0,0,0,3,1,0.44,0,0.06
3354,0,0,0,1002.5,0.4,18835,0.00039902,1.1369e-13,0,-57.979,0,0,0,3,1,0.44,0,0.08
3355,0,0,0,1002.4,0.4,18639,0.00039903,0,0,-0.17247,0,0,0,3,1,0.44,0,0.1
3451,0,0,0,1002.5,0.4,19031,0.00039901,-0.0010837,0,-416.37,0,0,0,3,1,0.46,0,0.06
3452,0,0,0,1002.5,0.4,18835,0.00039902,-0.0012064,0,-57.979,0,0,0,3,1,0.46,0,0.08
3453,0,0,0,1002.4,0.4,18639,0.00039903,-0.0012053,0,-0.17246,0,0,0,3,1,0.46,0,0.1
3549,0,0,0,1002.5,0.4,19031,0.00039901,0.00055788,0,-416.37,0,0,0,3,1,0.48,0,0.06
3550,0,0,0,1002.5,0.4,18835,0.00039902,0.0006134,0,-57.979,0,0,0,3,1,0.48,0,0.08
3551,0,0,0,1002.4,0.4,18639,0.00039903,0.00061843,0,-0.17246,0,0,0,3,1,0.48,0,0.1
3647,0,0,0,1002.5,0.4,19031,0.00039901,-3.2046e-05,0,-416.37,0,0,0,3,1,0.5,0,0.06
3648,0,0,0,1002.5,0.4,18835,0.00039902,-2.0412e-05,0,-57.979,0,0,0,3,1,0.5,0,0.08
3649,0,0,0,1002.4,0.4,18639,0.00039903,-3.1585e-05,0,-0.17246,0,0,0,3,1,0.5,0,0.1
3745,0,0,0,1002.5,0.4,19031,0.00039901,0.0016416,0,-416.37,0,0,0,3,1,0.52,0,0.06
3746,0,0,0,1002.5,0.4,18835,0.00039902,0.0018198,0,-57.979,0,0,0,3,1,0.52,0,0.08
3747,0,0,0,1002.4,0.4,18639,0.00039903,0.0018237,0,-0.17247,0,0,0,3,1,0.52,0,0.1
3843,0,0,0,1002.5,0.4,19031,0.00039901,-0.0021674,0,-416.37,0,0,0,3,1,0.54,0,0.06
3844,0,0,0,1002.5,0.4,18835,0.00039902,-0.0024128,0,-57.979,0,0,0,3,1,0.54,0,0.08
3845,0,0,0,1002.4,0.4,18639,0.00039903,-0.0024106,0,-0.17247,0,0,0,3,1,0.54,0,0.1
