"Point ID","Idp","Mk","Points:0","Points:1","Points:2","Points_Magnitude","Rhop","Type","Vel:0","Vel:1","Vel:2","Vel_Magnitude"
76,76,10,-0.01,0,0.142,0.142352,1000,0,0,0,0,0
77,77,10,-0.01,0,0.144,0.144347,1000,0,0,0,0,0
78,78,10,-0.01,0,0.146,0.146342,1000,0,0,0,0,0
79,79,10,-0.01,0,0.148,0.148337,1000,0,0,0,0,0
80,80,10,-0.01,0,0.15,0.150333,1000,0,0,0,0,0
81,81,10,-0.01,0,0.152,0.152329,1000,0,0,0,0,0
82,82,10,-0.01,0,0.154,0.154324,1000,0,0,0,0,0
83,83,10,-0.01,0,0.156,0.15632,1000,0,0,0,0,0
84,84,10,-0.01,0,0.158,0.158316,1000,0,0,0,0,0
85,85,10,-0.01,0,0.16,0.160312,1000,0,0,0,0,0
86,86,10,-0.01,0,0.162,0.162308,1000,0,0,0,0,0
87,87,10,-0.01,0,0.164,0.164305,1000,0,0,0,0,0
88,88,10,-0.01,0,0.166,0.166301,1000,0,0,0,0,0
89,89,10,-0.01,0,0.168,0.168297,1000,0,0,0,0,0
90,90,10,-0.01,0,0.17,0.170294,1000,0,0,0,0,0
91,91,10,-0.01,0,0.172,0.17229,1000,0,0,0,0,0
92,92,10,-0.01,0,0.174,0.174287,1000,0,0,0,0,0
93,93,10,-0.01,0,0.176,0.176284,1000,0,0,0,0,0
94,94,10,-0.01,0,0.178,0.178281,1000,0,0,0,0,0
95,95,10,-0.01,0,0.18,0.180278,1000,0,0,0,0,0
96,96,10,-0.01,0,0.182,0.182275,1000,0,0,0,0,0
97,97,10,-0.01,0,0.184,0.184272,1000,0,0,0,0,0
98,98,10,-0.01,0,0.186,0.186269,1000,0,0,0,0,0
99,99,10,-0.01,0,0.188,0.188266,1000,0,0,0,0,0
100,100,10,-0.01,0,0.19,0.190263,1000,0,0,0,0,0
101,101,10,-0.01,0,0.192,0.19226,1000,0,0,0,0,0
102,102,10,-0.01,0,0.194,0.194258,1000,0,0,0,0,0
103,103,10,-0.01,0,0.196,0.196255,1000,0,0,0,0,0
104,104,10,-0.01,0,0.198,0.198252,1000,0,0,0,0,0
105,105,10,-0.01,0,0.2,0.20025,1000,0,0,0,0,0
106,106,10,-0.01,0,0.202,0.202247,1000,0,0,0,0,0
107,107,10,-0.01,0,0.204,0.204245,1000,0,0,0,0,0
108,108,10,-0.01,0,0.206,0.206243,1000,0,0,0,0,0
109,109,10,-0.01,0,0.208,0.20824,1000,0,0,0,0,0
110,110,10,-0.01,0,0.21,0.210238,1000,0,0,0,0,0
111,111,10,-0.01,0,0.212,0.212236,1000,0,0,0,0,0
112,112,10,-0.01,0,0.214,0.214234,1000,0,0,0,0,0
113,113,10,-0.01,0,0.216,0.216231,1000,0,0,0,0,0
114,114,10,-0.01,0,0.218,0.218229,1000,0,0,0,0,0
115,115,10,-0.01,0,0.22,0.220227,1000,0,0,0,0,0
116,116,10,-0.01,0,0.222,0.222225,1000,0,0,0,0,0
117,117,10,-0.01,0,0.224,0.224223,1000,0,0,0,0,0
118,118,10,-0.01,0,0.226,0.226221,1000,0,0,0,0,0
119,119,10,-0.01,0,0.228,0.228219,1000,0,0,0,0,0
120,120,10,-0.01,0,0.23,0.230217,1000,0,0,0,0,0
121,121,10,-0.01,0,0.232,0.232215,1000,0,0,0,0,0
122,122,10,-0.01,0,0.234,0.234214,1000,0,0,0,0,0
123,123,10,-0.01,0,0.236,0.236212,1000,0,0,0,0,0
124,124,10,-0.01,0,0.238,0.23821,1000,0,0,0,0,0
125,125,10,-0.01,0,0.24,0.240208,1000,0,0,0,0,0
126,126,10,-0.01,0,0.242,0.242207,1000,0,0,0,0,0
127,127,10,-0.01,0,0.244,0.244205,1000,0,0,0,0,0
128,128,10,-0.01,0,0.246,0.246203,1000,0,0,0,0,0
129,129,10,-0.01,0,0.248,0.248202,1000,0,0,0,0,0
130,130,10,-0.01,0,0.25,0.2502,1000,0,0,0,0,0
131,131,10,-0.01,0,0.252,0.252198,1000,0,0,0,0,0
132,132,10,-0.01,0,0.254,0.254197,1000,0,0,0,0,0
133,133,10,-0.01,0,0.256,0.256195,1000,0,0,0,0,0
134,134,10,-0.01,0,0.258,0.258194,1000,0,0,0,0,0
135,135,10,-0.01,0,0.26,0.260192,1000,0,0,0,0,0
136,136,10,-0.01,0,0.262,0.262191,1000,0,0,0,0,0
137,137,10,-0.01,0,0.264,0.264189,1000,0,0,0,0,0
138,138,10,-0.01,0,0.266,0.266188,1000,0,0,0,0,0
139,139,10,-0.01,0,0.268,0.268187,1000,0,0,0,0,0
140,140,10,-0.01,0,0.27,0.270185,1000,0,0,0,0,0
141,141,10,-0.01,0,0.272,0.272184,1000,0,0,0,0,0
142,142,10,-0.01,0,0.274,0.274182,1000,0,0,0,0,0
143,143,10,-0.01,0,0.276,0.276181,1000,0,0,0,0,0
144,144,10,-0.01,0,0.278,0.27818,1000,0,0,0,0,0
145,145,10,-0.01,0,0.28,0.280179,1000,0,0,0,0,0
146,146,10,-0.01,0,0.282,0.282177,1000,0,0,0,0,0
147,147,10,-0.01,0,0.284,0.284176,1000,0,0,0,0,0
148,148,10,-0.01,0,0.286,0.286175,1000,0,0,0,0,0
149,149,10,-0.01,0,0.288,0.288174,1000,0,0,0,0,0
150,150,10,-0.01,0,0.29,0.290172,1000,0,0,0,0,0
151,151,10,-0.01,0,0.292,0.292171,1000,0,0,0,0,0
152,152,10,-0.01,0,0.294,0.29417,1000,0,0,0,0,0
153,153,10,-0.01,0,0.296,0.296169,1000,0,0,0,0,0
154,154,10,-0.01,0,0.298,0.298168,1000,0,0,0,0,0
155,155,10,-0.01,0,0.3,0.300167,1000,0,0,0,0,0
156,156,10,-0.008,0,-0.01,0.0128062,1000,0,0,0,0,0
157,157,10,-0.008,0,0.3,0.300107,1000,0,0,0,0,0
158,158,10,-0.006,0,-0.01,0.0116619,1000,0,0,0,0,0
159,159,10,-0.006,0,0.3,0.30006,1000,0,0,0,0,0
160,160,10,-0.004,0,-0.01,0.0107703,1000,0,0,0,0,0
161,161,10,-0.004,0,0.3,0.300027,1000,0,0,0,0,0
162,162,10,-0.002,0,-0.01,0.010198,1000,0,0,0,0,0
163,163,10,-0.002,0,0.3,0.300007,1000,0,0,0,0,0
164,164,10,0,0,-0.01,0.01,1000,0,0,0,0,0
165,165,10,0,0,0,0,1000,0,0,0,0,0
166,166,10,0,0,0.002,0.002,1000,0,0,0,0,0
167,167,10,0,0,0.004,0.004,1000,0,0,0,0,0
168,168,10,0,0,0.006,0.006,1000,0,0,0,0,0
169,169,10,0,0,0.008,0.008,1000,0,0,0,0,0
170,170,10,0,0,0.01,0.01,1000,0,0,0,0,0
171,171,10,0,0,0.012,0.012,1000,0,0,0,0,0
172,172,10,0,0,0.014,0.014,1000,0,0,0,0,0
173,173,10,0,0,0.016,0.016,1000,0,0,0,0,0
174,174,10,0,0,0.018,0.018,1000,0,0,0,0,0
175,175,10,0,0,0.02,0.02,1000,0,0,0,0,0
176,176,10,0,0,0.022,0.022,1000,0,0,0,0,0
177,177,10,0,0,0.024,0.024,1000,0,0,0,0,0
178,178,10,0,0,0.026,0.026,1000,0,0,0,0,0
179,179,10,0,0,0.028,0.028,1000,0,0,0,0,0
180,180,10,0,0,0.03,0.03,1000,0,0,0,0,0
181,181,10,0,0,0.032,0.032,1000,0,0,0,0,0
182,182,10,0,0,0.034,0.034,1000,0,0,0,0,0
183,183,10,0,0,0.036,0.036,1000,0,0,0,0,0
184,184,10,0,0,0.038,0.038,1000,0,0,0,0,0
